,acqf_1-db100-a1,acqf_1-db10-a1,acqf_1-db1-a1,acqf_1-db0-1-a1,acqf_1-db0-01-a1,acqf_1-db0-001-a1,acqf_1-db1-a2,acqf_1-db1-a1-5,acqf_1-db1-a0-5,acqf_1-db1-a0,acqf_10,acqf_2,acqf_2-1,acqf_3,acqf_4,acqf_4-1,acqf_5,acqf_6,acqf_7,acqf_8,acqf_9,random,SMILES
0,22,22,21,16,10,10,21,21,20,20,19,12,12,25,18,18,15,10,13,48,11,37,Cc1ccc(S(=O)(=O)OC2[C@H]3C[C@@H]4C[C@@H](C[C@H]2C4)C3)cc1
1,10,10,10,10,10,10,10,10,10,10,10,14,14,10,10,10,10,10,10,10,10,10,CC(C)(C)C1c2ccccc2-c2ccccc21
2,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,CCCCCCCC(=O)O[C@H]1/C(=C/C(=O)OC)C[C@@]2(C)C[C@@H]([C@@H](C)O)OC(=O)C[C@H](O)C[C@@H]3OCC[C@H](C[C@@H]4CCO[C@H](/C=C/C(C)(C)[C@]1(O)O2)O4)O3
3,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](OC(C)=O)CC[C@]4(C)[C@H]3CC[C@]12C
4,135,135,135,135,135,135,135,135,135,135,83,135,135,135,135,135,135,135,33,135,135,135,CC(C)[C@@H]1CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(C)CCCC(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@H]12
5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,c1ccc(C2c3ccccc3-c3ccccc32)cc1
6,135,135,135,135,135,135,28,135,135,135,135,71,36,135,18,18,135,72,29,135,25,135,COC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](Cc1ccccc1)NC(=O)OC(C)(C)C
7,47,32,49,21,15,15,49,49,49,48,90,78,72,58,26,25,13,13,14,54,20,83,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC(=O)[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1
8,22,22,23,13,13,13,23,22,22,22,33,27,10,20,64,75,12,12,12,113,17,28,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C
9,113,112,112,111,111,111,112,112,112,112,135,135,17,135,135,135,127,63,127,135,109,135,CC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](OC(C)=O)CC[C@@H]12
10,32,25,34,21,15,14,34,34,26,26,51,73,18,44,46,48,21,15,21,50,14,67,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
11,11,11,11,135,16,16,12,11,10,10,14,10,10,135,135,135,11,27,11,11,135,135,CC(=O)Oc1ccc([C@@H]2CCc3c(OC(C)=O)cc(OC(C)=O)cc3O2)cc1
12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,CC(C)c1ccc2c(S(=O)(=O)Cl)cn(S(=O)(=O)c3ccccc3)c2c1
13,38,36,31,13,16,11,32,31,27,27,132,18,16,135,19,19,54,37,61,65,16,135,CC(C)CCCC(C)CCOC(=O)c1ccccc1
14,135,135,135,22,32,44,135,135,135,135,64,78,14,135,135,28,33,119,10,135,102,135,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@H]3[C@@H]4CCC[C@@]4(C)CC[C@@H]32)C1
15,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,CC(=O)O[C@@H]1CC[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](OC(C)=O)CC[C@@H]32)C1
16,135,135,135,135,135,135,135,135,135,135,43,135,135,135,135,135,135,135,135,135,135,135,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CCCC(C)C)[C@@]4(C)CC[C@@H]32)C1(C)C
17,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](C(C)C)CC[C@@H]32)C1
18,38,38,33,18,14,14,31,33,27,32,62,88,35,86,65,66,15,13,16,85,26,82,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1
19,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](OC(C)=O)CC[C@]4(C)[C@H]3C[C@H](OC(C)=O)[C@]12C
20,27,26,25,15,14,13,24,24,25,25,35,42,18,47,20,26,13,18,21,84,21,45,CC(C)[C@H]1CC[C@@]2(C)[C@@H]1CC[C@]1(C)[C@@H]2CC[C@@H]2[C@@]3(C)CCCC(C)(C)[C@@H]3CC[C@]21C
21,112,113,113,111,111,112,112,113,113,113,30,135,10,135,135,135,23,69,69,135,86,135,CC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
22,11,11,11,12,12,17,11,11,12,12,17,15,12,105,26,18,12,21,21,121,33,72,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](C)CC[C@@H]32)C1
23,135,135,135,135,135,135,135,135,135,135,66,135,135,135,135,135,135,135,135,135,135,135,CC[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](OC(C)=O)CC[C@]4(C)[C@H]3CC[C@]12C
24,41,41,32,23,15,13,33,31,28,29,38,135,25,135,135,25,14,135,135,135,135,135,COC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)OC(C)(C)C
25,26,26,25,19,13,11,25,25,26,26,40,70,18,44,34,15,17,11,13,53,11,56,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CCCC[C@]4(C)[C@H]3CC[C@]12C
26,17,25,22,12,135,135,10,22,135,135,135,10,10,135,135,135,135,135,135,135,31,135,COC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)OC(C)(C)C
27,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,CC[Si](CC)(CC)O[C@H]1C[C@]2(C)C[C@@H]3O[C@@H]3[C@@](C)(O)[C@H]2[C@@H](O)[C@@H]2C[C@H](O[Si](C)(C)C(C)(C)C)C(C)=C1C2(C)C
28,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,CC(C)[C@H]1CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(C)CCCC(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@H]12
29,64,122,66,55,54,54,65,66,64,64,38,134,128,28,25,26,12,133,135,36,125,57,CC(=O)O[C@H]1CC[C@@]2(CO2)[C@]2(C1)O[C@@H]2[C@@H]1O[C@@]12CCC[C@]1(C)[C@@H]([C@H](C)[C@H]3O[C@@H]3[C@H](C)C(C)C)CC[C@H]12
30,9,9,22,9,9,11,9,22,9,19,9,9,9,14,16,14,9,11,9,13,11,19,COc1ccc(C2Cc3ccccc3CO2)cc1
31,9,9,9,9,9,9,9,9,9,9,11,9,9,9,9,9,9,9,9,9,9,9,c1ccc2c(c1)[C@H]1c3ccccc3[C@@H]3c4ccccc4[C@H]4c5ccccc5[C@H]2C134
32,135,135,135,29,135,135,17,135,135,135,17,135,135,135,135,135,135,12,18,135,135,135,CC(C)[C@@H]1CC[C@@]2(C)CCC[C@H](C)[C@@H]2[C@H]1OC(=O)NCC(F)(F)F
33,21,21,10,10,10,10,10,10,10,13,12,10,10,14,11,11,10,10,10,13,15,17,CCOC(=O)[C@H](C)NC(=O)[C@@H](CC(C)C)NC(=O)OC(C)(C)C
34,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,15,135,COC(=O)C(C1CCCCC1)N1C(=O)c2ccccc2C1=O
35,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C(C)(C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
