,Reactant_SMILES,Selectivity_Reduced
0,Cc1nc2ccccc2o1,"{0: 0.0, 1: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 100.0, 8: 0.0}"
1,Cc1nc2cc(Br)ccc2o1,"{0: 0.0, 1: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 7: 0.0, 8: 100.0, 9: 0.0}"
2,Cc1nc2ccccc2[nH]1,"{0: 0.0, 1: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 100.0, 7: 0.0, 8: 0.0}"
3,Cc1cc2c(Cl)ccnc2[nH]1,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 6: 100.0, 7: 0.0, 9: 0.0}"
4,CCN(CC)C(=O)c1cc2ccccc2[nH]1,"{0: 0.0, 1: 0.0, 5: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 100.0, 14: 0.0}"
5,CCOC(=O)c1c(C)[nH]c2ccccc12,"{0: 0.0, 1: 0.0, 3: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 9: 0.0, 10: 100.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0}"
6,CCOC(=O)c1cccc(F)c1,"{0: 0.0, 1: 0.0, 3: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 100.0, 9: 0.0, 11: 0.0}"
7,Fc1cccc(C(F)(F)F)c1,"{1: 0.0, 2: 100.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 10: 0.0}"
8,CN(C)S(=O)(=O)c1cccc(F)c1,"{0: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 100.0, 10: 0.0, 12: 0.0}"
9,CCN(CC)C(=O)c1cccc(F)c1,"{0: 0.0, 1: 0.0, 5: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 100.0, 11: 0.0, 13: 0.0}"
10,Fc1cccc(-c2ccccc2)c1,"{1: 0.0, 2: 100.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 12: 0.0}"
11,Fc1cccc(-c2ccc3ccccc3c2)c1,"{1: 0.0, 2: 100.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0}"
12,COC(=O)C(C)c1cccc(F)c1,"{0: 0.0, 2: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 100.0, 10: 0.0, 12: 0.0}"
13,COc1cccc(F)c1,"{0: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 100.0, 6: 0.0, 8: 0.0}"
14,CCOC(=O)c1ncccc1C,"{0: 0.0, 1: 0.0, 3: 0.0, 5: 0.0, 7: 0.0, 8: 100.0, 9: 0.0, 10: 0.0, 11: 0.0}"
15,CCOC(=O)c1ccc2c(ccn2C)c1,"{0: 0.0, 1: 0.0, 3: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 100.0, 13: 0.0, 14: 0.0}"
16,CCOC(=O)c1cccnc1C(=O)OCC,"{0: 0.0, 1: 0.0, 3: 0.0, 5: 0.0, 6: 0.0, 7: 100.0, 8: 0.0, 10: 0.0, 11: 0.0, 14: 0.0, 15: 0.0}"
17,CCOC(=O)c1cccc2cc[nH]c12,"{0: 0.0, 1: 0.0, 3: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 100.0, 13: 0.0}"
18,CCCCCCN(CCCCCC)C(=O)c1ccccc1,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 13: 0.0, 15: 0.0, 16: 0.0, 17: 48.888888888888886, 18: 51.111111111111114}"
