,Buried_Volume_C,Buried_Volume_H_max,Local_Electrophilicity_C,Local_Electrophilicity_H_max,Local_Nucleophilicity_C,Local_Nucleophilicity_H_max,Pyramidalization_C,Pyramidalization_H_max,Radical_H_max,charge_C,charge_H_max,dual_C,dual_H_max,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
0,0.24121,0.307841,-0.00225,0.017848,-0.02081,0.070655,0.80053,1.695567,0.06899,-0.10193,0.032323,0.01873,0.026499,CCCCCCC,0,0.0,1,10.1021/ja00199a039
1,0.42047,0.432311,0.00065,0.015258,-0.00698,0.088282,0.78982,1.653738,0.065962,-0.05312,0.030313,0.0154,-0.014179,CCCCCCC,1,34.74576271186441,1,10.1021/ja00199a039
2,0.44519,0.429003,0.00369,0.019716,-0.0129,0.091961,0.79794,1.648621,0.082229,-0.05876,0.028645,0.04462,-0.005412,CCCCCCC,2,34.74576271186441,1,10.1021/ja00199a039
3,0.47391,0.474323,0.00455,0.015982,-0.00545,0.058385,0.79056,1.651478,0.063455,-0.05831,0.031775,0.03829,0.016917,CCCCCCC,3,30.508474576271187,1,10.1021/ja00199a039
4,0.35921,0.411794,-0.00664,0.018834,-0.02132,0.083372,0.80202,1.695083,0.07885,-0.10398,0.036885,-0.00979,-0.002288,CC(C)C(C)C,0,0.0,1,10.1021/ja00199a039
5,0.56485,0.473834,0.01053,0.022064,0.01873,0.107693,0.80002,1.588207,0.094329,-0.01449,0.025926,0.03981,-0.026728,CC(C)C(C)C,1,100.0,1,10.1021/ja00199a039
6,0.33885,0.426563,-0.0032,0.014518,-0.02226,0.06863,0.80324,1.694463,0.061449,-0.10332,0.038079,0.01432,-0.000541,CC1CCCCC1,0,0.0,1,10.1021/ja00199a039
7,0.55245,0.423768,0.00247,0.028311,0.00947,0.115658,0.78163,1.598104,0.117917,-0.01145,0.021115,0.00138,0.004518,CC1CCCCC1,1,95.74468085106383,1,10.1021/ja00199a039
8,0.48129,0.417414,-0.00209,0.01968,-0.00396,0.071849,0.79103,1.653148,0.077971,-0.05784,0.028125,-0.0077,0.036597,CC1CCCCC1,2,0.0,1,10.1021/ja00199a039
9,0.45729,0.455268,-0.00122,0.017602,-0.00216,0.080872,0.78343,1.655525,0.075042,-0.05349,0.031715,-0.00477,0.005977,CC1CCCCC1,3,4.25531914893617,1,10.1021/ja00199a039
10,0.43804,0.410868,-0.0028,0.020574,-0.00885,0.095683,0.78136,1.658397,0.087934,-0.05416,0.029033,-0.00461,-0.000304,CC1CCCCC1,4,0.0,1,10.1021/ja00199a039
11,0.33454,0.380742,-0.00534,0.013974,-0.02468,0.056991,0.80057,1.696338,0.055306,-0.10467,0.035734,0.00592,0.009031,C[C@H]1CCCC[C@@H]1C,0,0.0,1,10.1021/ja00199a039
12,0.61115,0.535373,0.00556,0.02108,0.01041,0.08559,0.76388,1.608469,0.083352,-0.01743,0.028752,0.01822,-0.004476,C[C@H]1CCCC[C@@H]1C,1,90.0,1,10.1021/ja00199a039
13,0.48242,0.425148,-0.00275,0.019743,-0.01667,0.087497,0.79012,1.65105,0.079555,-0.06058,0.029571,0.00934,0.014003,C[C@H]1CCCC[C@@H]1C,2,5.5,1,10.1021/ja00199a039
14,0.43633,0.42025,-0.0016,0.016956,-0.01279,0.085918,0.78571,1.65654,0.070511,-0.05507,0.029941,0.01035,-0.008778,C[C@H]1CCCC[C@@H]1C,3,4.5,1,10.1021/ja00199a039
15,0.3759,0.450394,-0.00384,0.013736,-0.02303,0.062704,0.80471,1.693433,0.055539,-0.1029,0.036649,0.01238,-0.007107,C[C@@H]1CCCC[C@@H]1C,0,0.0,1,10.1021/ja00199a039
16,0.60231,0.465943,0.00244,0.023318,0.00867,0.108134,0.79017,1.592928,0.095851,-0.01572,0.021615,0.00168,-0.024566,C[C@@H]1CCCC[C@@H]1C,1,100.0,1,10.1021/ja00199a039
17,0.48308,0.419674,-0.00224,0.016243,-0.0053,0.073979,0.79082,1.653184,0.065507,-0.05802,0.026525,-0.00578,0.022278,C[C@@H]1CCCC[C@@H]1C,2,0.0,1,10.1021/ja00199a039
