,Reactant_SMILES,Atom_nº,bde_avg,gas_charge_C,gas_charge_H_max,Buried_Volume_C,Buried_Volume_H_max,Reactive Atom,DOI
0,CCCCCCC,0,-0.0462713,-0.181833575,-0.198063823,-0.392978945,-0.269027859,1,10.1021/ja00199a039
1,CCCCCCC,1,0.0212955,-0.146838515,-0.157434248,-0.142493372,-0.07816686,1,10.1021/ja00199a039
2,CCCCCCC,2,0.0161872,-0.136959345,-0.154139958,-0.107951347,-0.083239313,1,10.1021/ja00199a039
3,CCCCCCC,3,0.0178053,-0.136047421,-0.154017947,-0.067819998,-0.013746098,1,10.1021/ja00199a039
4,CC(C)C(C)C,0,-0.0322797,-0.171004485,-0.194647522,-0.228093875,-0.109627414,1,10.1021/ja00199a039
5,CC(C)C(C)C,1,0.0648712,-0.10367414,-0.113510382,0.059253292,-0.014495926,1,10.1021/ja00199a039
6,CC1CCCCC1,0,-0.0523689,-0.170928491,-0.194647522,-0.256543536,-0.086980784,1,10.1021/ja00199a039
7,CC1CCCCC1,1,0.1794336,-0.10166031,-0.113388372,0.041926386,-0.091266607,1,10.1021/ja00199a039
8,CC1CCCCC1,2,0.0220573,-0.126092257,-0.150601646,-0.057507695,-0.101009765,1,10.1021/ja00199a039
9,CC1CCCCC1,3,0.0176521,-0.13498351,-0.153895936,-0.091043641,-0.042964836,1,10.1021/ja00199a039
10,CC1CCCCC1,4,0.0119256,-0.135895434,-0.154017947,-0.117942265,-0.111047333,1,10.1021/ja00199a039
11,C[C@H]1CCCC[C@@H]1C,0,-0.0364644,-0.169940574,-0.194525512,-0.262566033,-0.157242227,1,10.1021/ja00199a039
12,C[C@H]1CCCC[C@@H]1C,1,0.0461978,-0.091857133,-0.109972071,0.123949722,0.079867334,1,10.1021/ja00199a039
13,C[C@H]1CCCC[C@@H]1C,2,0.012841,-0.125142337,-0.150479636,-0.055928711,-0.08915053,1,10.1021/ja00199a039
14,C[C@H]1CCCC[C@@H]1C,3,0.0138672,-0.134907517,-0.153895936,-0.120331701,-0.096661072,1,10.1021/ja00199a039
15,C[C@@H]1CCCC[C@@H]1C,0,-0.0249873,-0.169940574,-0.194525512,-0.204772419,-0.050438577,1,10.1021/ja00199a039
16,C[C@@H]1CCCC[C@@H]1C,1,0.0679977,-0.091857133,-0.109972071,0.111597315,-0.026595903,1,10.1021/ja00199a039
17,C[C@@H]1CCCC[C@@H]1C,2,0.0153644,-0.125142337,-0.150479636,-0.055006472,-0.097544304,1,10.1021/ja00199a039
18,C[C@@H]1CCCC[C@@H]1C,3,0.0264628,-0.134907517,-0.153895936,-0.090023589,-0.041080301,1,10.1021/ja00199a039
19,C1CC[C@H]2CCCC[C@@H]2C1,0,0.0126345,-0.13486952,-0.153895936,-0.130588111,-0.110895527,3,10.1021/ja00199a039
20,C1CC[C@H]2CCCC[C@@H]2C1,2,0.0184511,-0.124078427,-0.150357625,-0.049291388,-0.035150683,3,10.1021/ja00199a039
21,C1CC[C@H]2CCCC[C@@H]2C1,3,0.0480585,-0.080002129,-0.10643376,0.181282216,0.120802702,3,10.1021/ja00199a039
22,C1CC[C@H]2CCCC[C@H]2C1,0,0.0072136,-0.13486952,-0.153895936,-0.117439226,-0.098973423,3,10.1021/ja00199a039
23,C1CC[C@H]2CCCC[C@H]2C1,2,0.0186042,-0.124078427,-0.150357625,0.004785326,0.061819339,3,10.1021/ja00199a039
24,C1CC[C@H]2CCCC[C@H]2C1,3,0.065619,-0.080002129,-0.10643376,0.184817464,0.061615398,3,10.1021/ja00199a039
25,C1CC2CCC1C2,0,0.0470082,-0.12404043,-0.150357625,-0.09981888,-0.135380692,0,10.1021/ja00199a039
26,C1CC2CCC1C2,2,-0.1620327,-0.089729312,-0.109728049,0.022936656,-0.127647808,0,10.1021/ja00199a039
27,C1CC2CCC1C2,6,-0.1154467,-0.114237253,-0.147063335,-0.072291458,-0.133390352,0,10.1021/ja00199a039
28,C1CC2CCC1CC2,0,0.0689618,-0.124078427,-0.150357625,-0.065514402,-0.132201975,2,10.1021/ja00199a039
29,C1CC2CCC1CC2,2,0.0758441,-0.090717229,-0.10985006,0.066170081,-0.103009305,2,10.1021/ja00199a039
30,C1C2CC3CC1CC(C2)C3,0,-0.0210968,-0.114085266,-0.147063335,-0.012429794,-0.096812877,1,10.1021/ja00199a039
31,C1C2CC3CC1CC(C2)C3,1,0.0078834,-0.087829471,-0.109484028,0.091755213,-0.098090191,1,10.1021/ja00199a039
32,CCc1ccccc1,0,-0.0468864,-0.166292881,-0.194037469,-0.343150118,-0.206384295,1,10.1021/ja00199a039
33,CCc1ccccc1,1,0.2430236,-0.050212631,-0.097160944,-0.130392485,-0.140158733,1,10.1021/ja00199a039
34,CCc1ccccc1,3,-0.2747659,-0.157819592,0.284122609,-0.036394022,-0.127773546,1,10.1021/ja00199a039
35,CCc1ccccc1,4,-0.2814755,-0.168952657,0.280706309,-0.139181697,-0.236808277,1,10.1021/ja00199a039
36,CCc1ccccc1,5,-0.2921714,-0.169940574,0.280584298,-0.145581474,-0.23706742,1,10.1021/ja00199a039
37,CC(C)c1ccccc1,0,-0.040662,-0.156375714,-0.190621168,-0.269412956,-0.137452301,1,10.1021/ja00199a039
38,CC(C)c1ccccc1,1,0.2707342,-0.016547459,-0.056409357,0.044469529,-0.021023565,1,10.1021/ja00199a039
39,CC(C)c1ccccc1,4,-0.2638527,-0.156755682,0.28424462,0.024473721,-0.034426923,1,10.1021/ja00199a039
40,CC(C)c1ccccc1,5,-0.2811042,-0.16891466,0.280706309,-0.130993337,-0.236308392,1,10.1021/ja00199a039
41,CC(C)c1ccccc1,6,-0.2927636,-0.169940574,0.280584298,-0.146042593,-0.237754379,1,10.1021/ja00199a039
42,COc1ccc(C(C)O)cc1,0,0.0297882,0.361102818,0.336587226,-0.382121682,-0.232387515,6,10.1016/S0040-4039(00)78488-7
43,COc1ccc(C(C)O)cc1,3,-0.2899985,-0.007922184,0.328534518,-0.078621368,-0.180094331,6,10.1016/S0040-4039(00)78488-7
44,COc1ccc(C(C)O)cc1,4,-0.2786066,-0.1339196,0.287050867,-0.037260367,-0.13442539,6,10.1016/S0040-4039(00)78488-7
