,Bmax_2.0_avg,Bmax_2.0_min,Bmax_4.0_min,Bmax_4.5_min,Bmin_2.0_avg,Bmin_3.0_avg,Bmin_3.5_avg,Bmin_4.0_avg,Bmin_4.0_min,Bmin_4.5_min,S_bur_2.0_avg,V_occ_avg,Reactant_SMILES,Atom_nº,bde_avg,Reactive Atom,DOI
0,-0.180877859,-0.232023804,-0.11366736,-0.090728522,-0.054535943,-0.039174597,-0.022848084,-0.016180108,-0.008671578,-0.007199076,-0.422383372,-0.301903912,CCCCCCC,0,-0.0462713,1,10.1021/ja00199a039
1,0.010884407,0.075103333,-0.11366736,-0.090728522,-0.05779828,-0.037400053,-0.019645203,-0.013977847,-0.008671578,-0.007199076,-0.07772396,-0.301893721,CCCCCCC,1,0.0212955,1,10.1021/ja00199a039
2,-0.167555961,-0.102363786,-0.11366736,-0.090728522,-0.05779828,-0.039174597,-0.022848084,-0.016180108,-0.008671578,-0.007199076,-0.054065465,-0.301894518,CCCCCCC,2,0.0161872,1,10.1021/ja00199a039
3,-0.129260418,-0.099346678,-0.11366736,-0.090728522,-0.05779828,-0.039018224,-0.022848084,-0.016180108,-0.008671578,-0.007199076,-0.023585344,-0.301914734,CCCCCCC,3,0.0178053,1,10.1021/ja00199a039
4,-0.147539938,-0.110020687,-0.11366736,-0.090728522,-0.05779828,-0.03914054,-0.022538014,-0.016180108,-0.008671578,-0.007199076,-0.326522822,-0.326460531,CC(C)C(C)C,0,-0.0322797,1,10.1021/ja00199a039
5,-0.158805026,-0.093228825,-0.11366736,-0.090728522,-0.05779828,-0.039174597,-0.022848084,-0.016180108,-0.008671578,-0.007199076,0.242472748,-0.326471353,CC(C)C(C)C,1,0.0648712,1,10.1021/ja00199a039
6,-0.132981033,-0.117210285,-0.11366736,-0.090728522,-0.05779828,-0.036699493,-0.022111231,-0.016180108,-0.008671578,-0.007199076,-0.346005117,-0.317588664,CC1CCCCC1,0,-0.0523689,1,10.1021/ja00199a039
7,-0.298440086,-0.232863885,-0.11366736,-0.090728522,-0.05779828,-0.039174597,-0.022848084,-0.016180108,-0.008671578,-0.007199076,0.203916466,-0.317602672,CC1CCCCC1,1,0.1794336,1,10.1021/ja00199a039
8,-0.15105417,-0.087724754,-0.11366736,-0.090728522,-0.05779828,-0.039174597,-0.022848084,-0.016180108,-0.008671578,-0.007199076,-0.022251499,-0.317596796,CC1CCCCC1,2,0.0220573,1,10.1021/ja00199a039
9,-0.197056558,-0.23305969,-0.11366736,-0.090728522,-0.05779828,-0.039102646,-0.022149551,-0.016180108,-0.008671578,-0.007199076,-0.067772047,-0.317586142,CC1CCCCC1,3,0.0176521,1,10.1021/ja00199a039
10,-0.298635891,-0.23305969,-0.11366736,-0.090728522,-0.05779828,-0.039174597,-0.022848084,-0.016180108,-0.008671578,-0.007199076,-0.101443621,-0.317596796,CC1CCCCC1,4,0.0119256,1,10.1021/ja00199a039
11,-0.110795257,-0.116255043,-0.11366736,-0.090728522,-0.05779828,-0.034963803,-0.022568571,-0.016180108,-0.008671578,-0.007199076,-0.320783653,-0.29353421,C[C@H]1CCCC[C@@H]1C,0,-0.0364644,1,10.1021/ja00199a039
12,-0.153555477,-0.087979275,-0.11366736,-0.090728522,-0.05779828,-0.039174597,-0.022848084,-0.016180108,-0.008671578,-0.007199076,0.25947657,-0.293550741,C[C@H]1CCCC[C@@H]1C,1,0.0461978,1,10.1021/ja00199a039
13,-0.142016105,-0.088932557,-0.11366736,-0.090728522,-0.05779828,-0.039174597,-0.022848084,-0.016180108,-0.008671578,-0.007199076,-0.015167273,-0.293533214,C[C@H]1CCCC[C@@H]1C,2,0.012841,1,10.1021/ja00199a039
14,-0.178615854,-0.23305969,-0.11366736,-0.090728522,-0.05779828,-0.038769515,-0.022602383,-0.016180108,-0.008671578,-0.007199076,-0.067845742,-0.293539588,C[C@H]1CCCC[C@@H]1C,3,0.0138672,1,10.1021/ja00199a039
15,-0.137707403,-0.106235267,-0.11366736,-0.090728522,-0.05779828,-0.039077224,-0.022848084,-0.016180108,-0.008671578,-0.007199076,-0.316103254,-0.293527439,C[C@@H]1CCCC[C@@H]1C,0,-0.0249873,1,10.1021/ja00199a039
16,-0.16735448,-0.101778279,-0.11366736,-0.090728522,-0.05779828,-0.039174597,-0.022848084,-0.016180108,-0.008671578,-0.007199076,0.264316452,-0.293540982,C[C@@H]1CCCC[C@@H]1C,1,0.0679977,1,10.1021/ja00199a039
17,-0.132713716,-0.100612887,-0.11366736,-0.090728522,-0.05779828,-0.037309395,-0.018149207,-0.016180108,-0.008671578,-0.007199076,0.002641763,-0.293528334,C[C@@H]1CCCC[C@@H]1C,2,0.0153644,1,10.1021/ja00199a039
18,-0.233885495,-0.23305969,-0.11366736,-0.090728522,-0.05779828,-0.039174597,-0.022848084,-0.016180108,-0.008671578,-0.007199076,-0.088628163,-0.293537795,C[C@@H]1CCCC[C@@H]1C,3,0.0264628,1,10.1021/ja00199a039
19,-0.149135637,-0.23305969,-0.11366736,-0.090728522,-0.05779828,-0.033767263,-0.021517641,-0.013735171,-0.008671578,-0.007199076,-0.065555879,-0.260556138,C1CC[C@H]2CCCC[C@@H]2C1,0,0.0126345,3,10.1021/ja00199a039
20,-0.120246293,-0.101869655,-0.11366736,-0.090728522,-0.05779828,-0.039174597,-0.022848084,-0.016180108,-0.008671578,-0.007199076,-0.039193166,-0.260570478,C1CC[C@H]2CCCC[C@@H]2C1,2,0.0184511,3,10.1021/ja00199a039
21,-0.116107341,-0.050531139,-0.11366736,-0.090728522,0.03410524,-0.038660869,-0.022848084,-0.016180108,-0.008671578,-0.007199076,0.324133918,-0.26055584,C1CC[C@H]2CCCC[C@@H]2C1,3,0.0480585,3,10.1021/ja00199a039
22,-0.149327676,-0.232023804,-0.11366736,-0.090728522,-0.05290453,-0.038567093,-0.022521484,-0.011591527,-0.008671578,-0.007199076,-0.059103921,-0.26052945,C1CC[C@H]2CCCC[C@H]2C1,0,0.0072136,3,10.1021/ja00199a039
23,-0.123277075,-0.104966478,-0.11366736,-0.090728522,-0.057235529,-0.036364443,-0.019799487,-0.015849505,-0.008671578,-0.007199076,0.026858294,-0.260517898,C1CC[C@H]2CCCC[C@H]2C1,2,0.0186042,3,10.1021/ja00199a039
24,-0.166279897,-0.100703696,-0.11366736,-0.090728522,-0.05779828,-0.039174597,-0.022848084,-0.016180108,-0.008671578,-0.007199076,0.284541149,-0.260534131,C1CC[C@H]2CCCC[C@H]2C1,3,0.065619,3,10.1021/ja00199a039
