,C_spX,n_Csp3,num_C,num_H,num_N,num_O,Reactant_SMILES,Atom_nº,bde_avg,Reactive Atom,DOI
0,-0.135613928,-0.173488088,-0.303807778,0.60415394,-0.015271839,-0.063225412,CCCCCCC,0,-0.0462713,1,10.1021/ja00199a039
1,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,CCCCCCC,1,0.0212955,1,10.1021/ja00199a039
2,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,CCCCCCC,2,0.0161872,1,10.1021/ja00199a039
3,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,CCCCCCC,3,0.0178053,1,10.1021/ja00199a039
4,-0.135613928,-0.173488088,-0.303807778,0.60415394,-0.015271839,-0.063225412,CC(C)C(C)C,0,-0.0322797,1,10.1021/ja00199a039
5,-0.135613928,0.493178579,0.362858888,-0.39584606,-0.015271839,-0.063225412,CC(C)C(C)C,1,0.0648712,1,10.1021/ja00199a039
6,-0.135613928,-0.173488088,-0.303807778,0.60415394,-0.015271839,-0.063225412,CC1CCCCC1,0,-0.0523689,1,10.1021/ja00199a039
7,-0.135613928,0.493178579,0.362858888,-0.39584606,-0.015271839,-0.063225412,CC1CCCCC1,1,0.1794336,1,10.1021/ja00199a039
8,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,CC1CCCCC1,2,0.0220573,1,10.1021/ja00199a039
9,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,CC1CCCCC1,3,0.0176521,1,10.1021/ja00199a039
10,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,CC1CCCCC1,4,0.0119256,1,10.1021/ja00199a039
11,-0.135613928,-0.173488088,-0.303807778,0.60415394,-0.015271839,-0.063225412,C[C@H]1CCCC[C@@H]1C,0,-0.0364644,1,10.1021/ja00199a039
12,-0.135613928,0.493178579,0.362858888,-0.39584606,-0.015271839,-0.063225412,C[C@H]1CCCC[C@@H]1C,1,0.0461978,1,10.1021/ja00199a039
13,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,C[C@H]1CCCC[C@@H]1C,2,0.012841,1,10.1021/ja00199a039
14,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,C[C@H]1CCCC[C@@H]1C,3,0.0138672,1,10.1021/ja00199a039
15,-0.135613928,-0.173488088,-0.303807778,0.60415394,-0.015271839,-0.063225412,C[C@@H]1CCCC[C@@H]1C,0,-0.0249873,1,10.1021/ja00199a039
16,-0.135613928,0.493178579,0.362858888,-0.39584606,-0.015271839,-0.063225412,C[C@@H]1CCCC[C@@H]1C,1,0.0679977,1,10.1021/ja00199a039
17,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,C[C@@H]1CCCC[C@@H]1C,2,0.0153644,1,10.1021/ja00199a039
18,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,C[C@@H]1CCCC[C@@H]1C,3,0.0264628,1,10.1021/ja00199a039
19,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,C1CC[C@H]2CCCC[C@@H]2C1,0,0.0126345,3,10.1021/ja00199a039
20,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,C1CC[C@H]2CCCC[C@@H]2C1,2,0.0184511,3,10.1021/ja00199a039
21,-0.135613928,0.493178579,0.362858888,-0.39584606,-0.015271839,-0.063225412,C1CC[C@H]2CCCC[C@@H]2C1,3,0.0480585,3,10.1021/ja00199a039
22,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,C1CC[C@H]2CCCC[C@H]2C1,0,0.0072136,3,10.1021/ja00199a039
23,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,C1CC[C@H]2CCCC[C@H]2C1,2,0.0186042,3,10.1021/ja00199a039
24,-0.135613928,0.493178579,0.362858888,-0.39584606,-0.015271839,-0.063225412,C1CC[C@H]2CCCC[C@H]2C1,3,0.065619,3,10.1021/ja00199a039
25,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,C1CC2CCC1C2,0,0.0470082,0,10.1021/ja00199a039
26,-0.135613928,0.493178579,0.362858888,-0.39584606,-0.015271839,-0.063225412,C1CC2CCC1C2,2,-0.1620327,0,10.1021/ja00199a039
27,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,C1CC2CCC1C2,6,-0.1154467,0,10.1021/ja00199a039
28,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,C1CC2CCC1CC2,0,0.0689618,2,10.1021/ja00199a039
29,-0.135613928,0.493178579,0.362858888,-0.39584606,-0.015271839,-0.063225412,C1CC2CCC1CC2,2,0.0758441,2,10.1021/ja00199a039
30,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,C1C2CC3CC1CC(C2)C3,0,-0.0210968,1,10.1021/ja00199a039
31,-0.135613928,0.493178579,0.362858888,-0.39584606,-0.015271839,-0.063225412,C1C2CC3CC1CC(C2)C3,1,0.0078834,1,10.1021/ja00199a039
