,Bmax_cc1_avg,Bmax_ch1_avg,Bmin_cc1_avg,Bmin_ch1_avg,C_charge,C_n_charge_avg,C_n_charge_max,C_n_charge_min,H_charge_avg,L_cc1_avg,L_cc1_max,L_cc1_min,L_cc2_avg,L_cc2_min,L_ch1_avg,L_ch1_min,L_ch2_avg,L_ch2_max,L_ch2_min,OccV_cc1_avg,Vbur_cc1_avg,Vbur_cc2_avg,Reactant_SMILES,Atom_nº,bde_avg,Reactive Atom,DOI
0,-0.160600476,-0.048183916,-0.127553865,-0.162593957,-0.200635834,-0.05152992,-0.116265023,0.006523669,-0.095405094,0.09239431,0.005460839,0.170652818,-0.299329117,-0.20683623,-0.116178868,-0.069109745,-0.107031696,0.036063356,-0.148230584,-0.302256779,-0.34616573,-0.314564873,CCCCCCC,0,-0.0462713,1,10.1021/ja00199a039
1,-0.192810321,-0.063013181,-0.125790127,-0.097365083,0.002185078,-0.113450531,-0.134616128,-0.082446133,-0.080489482,-0.098963715,-0.055145221,-0.145456605,0.031358714,-0.070472594,-0.116178868,-0.069109745,-0.230074179,-0.273460453,-0.158131574,-0.302272623,-0.211419576,-0.341889603,CCCCCCC,1,0.0212955,1,10.1021/ja00199a039
2,-0.235259651,-0.14019085,-0.126253493,-0.067289294,-0.031657421,-0.059066178,-0.116265023,-0.006111514,-0.063464166,-0.098963715,-0.118781585,-0.081626818,0.034004216,0.065891042,-0.114478188,-0.069109745,-0.230074179,-0.273460453,-0.158131574,-0.302248307,-0.122721771,-0.259373878,CCCCCCC,2,0.0161872,1,10.1021/ja00199a039
3,-0.245597285,-0.219852401,-0.126253493,-0.068357785,-0.026618845,-0.072841485,-0.134616128,-0.014362427,-0.084071761,-0.098963715,-0.182417949,-0.01779703,0.034004216,0.202254679,-0.116178868,-0.069109745,-0.230074179,-0.273460453,-0.158131574,-0.302275413,-0.118650188,-0.209128794,CCCCCCC,3,0.0178053,1,10.1021/ja00199a039
4,-0.248657509,-0.272668253,-0.115651976,-0.162791025,-0.179149934,0.025249349,-0.036702294,0.070887184,-0.085067541,-0.16069211,-0.243024009,-0.078587304,-0.299329117,-0.20683623,-0.076496351,-0.069109745,-0.140588743,-0.136555691,-0.118527613,-0.326745947,-0.157732934,-0.060974147,CC(C)C(C)C,0,-0.0322797,1,10.1021/ja00199a039
5,-0.274301465,-0.295051083,-0.09841142,0.082557422,0.148912018,-0.092654033,-0.039131699,-0.079752782,-0.043358681,-0.205959579,-0.243024009,-0.145456605,-0.149417265,-0.063979087,-0.092369344,-0.045300221,-0.16631579,-0.216912834,-0.095425303,-0.326743623,0.00192139,-0.207802786,CC(C)C(C)C,1,0.0648712,1,10.1021/ja00199a039
6,-0.307612737,-0.201747548,-0.121052008,-0.16228425,-0.210066375,0.015270283,-0.047043129,0.062521804,-0.104620284,-0.03723532,-0.121811888,0.042993243,-0.299329117,-0.20683623,-0.116178868,-0.069109745,-0.133877334,-0.148460453,-0.151530914,-0.317957805,-0.254555242,-0.06838071,CC1CCCCC1,0,-0.0523689,1,10.1021/ja00199a039
7,-0.267934568,-0.266524522,-0.120879643,0.081011005,0.129841795,-0.108722548,-0.140369706,-0.086582951,0.051983091,-0.185383468,-0.246054312,-0.145456605,-0.115907635,-0.070472594,-0.116178868,-0.069109745,-0.230074179,-0.273460453,-0.158131574,-0.317938739,-0.004337546,-0.201334771,CC1CCCCC1,1,0.1794336,1,10.1021/ja00199a039
8,-0.248343431,-0.282572701,-0.123932298,-0.098227173,-0.042267979,-0.021175045,-0.047043129,0.001417244,-0.063059103,-0.165321739,-0.246054312,-0.084666331,-0.13266245,-0.070472594,-0.116178868,-0.069109745,-0.159604381,-0.151436644,-0.154831244,-0.317937974,-0.047097857,-0.14413752,CC1CCCCC1,2,0.0220573,1,10.1021/ja00199a039
9,-0.21170418,-0.256152159,-0.127042771,-0.099459216,-0.009455836,-0.064633531,-0.119317644,-0.012976192,-0.128776402,-0.132914332,-0.182417949,-0.084666331,-0.190863508,-0.0769661,-0.116178868,-0.069109745,-0.159604381,-0.151436644,-0.154831244,-0.31792213,-0.131877742,-0.172446418,CC1CCCCC1,3,0.0176521,1,10.1021/ja00199a039
10,-0.17506068,-0.279886901,-0.127224135,-0.099630828,-0.003444466,-0.061628465,-0.122577312,-0.005300984,-0.117084419,-0.163778529,-0.246054312,-0.081626818,-0.193509011,-0.0769661,-0.116178868,-0.069109745,-0.122691629,-0.088936644,-0.151530914,-0.317943554,-0.136752095,-0.219975848,CC1CCCCC1,4,0.0119256,1,10.1021/ja00199a039
11,-0.249784969,-0.201157139,-0.114030057,-0.163412773,-0.223731546,0.028657031,-0.033171075,0.073743819,-0.103063322,-0.03723532,-0.121811888,0.042993243,-0.299329117,-0.20683623,-0.093503154,-0.065708385,-0.126047334,-0.139531882,-0.141629924,-0.293934412,-0.197567335,0.033316676,C[C@H]1CCCC[C@@H]1C,0,-0.0364644,1,10.1021/ja00199a039
12,-0.248482695,-0.26604542,-0.048192759,0.087677779,0.155424176,-0.070843463,-0.035019919,-0.092577341,0.024738366,-0.185383468,-0.246054312,-0.145456605,-0.080634196,-0.070472594,-0.116178868,-0.069109745,-0.230074179,-0.273460453,-0.158131574,-0.293915744,0.081063804,-0.125348676,C[C@H]1CCCC[C@@H]1C,1,0.0461978,1,10.1021/ja00199a039
