,gas_charge_C,gas_charge_H_max,Reactant_SMILES,Atom_nº,bde_avg,Reactive Atom,DOI
0,-0.06538,0.02304,CCCCCCC,0,-0.0462713,1,10.1021/ja00199a039
1,-0.05617,0.02637,CCCCCCC,1,0.0212955,1,10.1021/ja00199a039
2,-0.05357,0.02664,CCCCCCC,2,0.0161872,1,10.1021/ja00199a039
3,-0.05333,0.02665,CCCCCCC,3,0.0178053,1,10.1021/ja00199a039
4,-0.06253,0.02332,CC(C)C(C)C,0,-0.0322797,1,10.1021/ja00199a039
5,-0.04481,0.02997,CC(C)C(C)C,1,0.0648712,1,10.1021/ja00199a039
6,-0.06251,0.02332,CC1CCCCC1,0,-0.0523689,1,10.1021/ja00199a039
7,-0.04428,0.02998,CC1CCCCC1,1,0.1794336,1,10.1021/ja00199a039
8,-0.05071,0.02693,CC1CCCCC1,2,0.0220573,1,10.1021/ja00199a039
9,-0.05305,0.02666,CC1CCCCC1,3,0.0176521,1,10.1021/ja00199a039
10,-0.05329,0.02665,CC1CCCCC1,4,0.0119256,1,10.1021/ja00199a039
11,-0.06225,0.02333,C[C@H]1CCCC[C@@H]1C,0,-0.0364644,1,10.1021/ja00199a039
12,-0.0417,0.03026,C[C@H]1CCCC[C@@H]1C,1,0.0461978,1,10.1021/ja00199a039
13,-0.05046,0.02694,C[C@H]1CCCC[C@@H]1C,2,0.012841,1,10.1021/ja00199a039
14,-0.05303,0.02666,C[C@H]1CCCC[C@@H]1C,3,0.0138672,1,10.1021/ja00199a039
15,-0.06225,0.02333,C[C@@H]1CCCC[C@@H]1C,0,-0.0249873,1,10.1021/ja00199a039
16,-0.0417,0.03026,C[C@@H]1CCCC[C@@H]1C,1,0.0679977,1,10.1021/ja00199a039
17,-0.05046,0.02694,C[C@@H]1CCCC[C@@H]1C,2,0.0153644,1,10.1021/ja00199a039
18,-0.05303,0.02666,C[C@@H]1CCCC[C@@H]1C,3,0.0264628,1,10.1021/ja00199a039
19,-0.05302,0.02666,C1CC[C@H]2CCCC[C@@H]2C1,0,0.0126345,3,10.1021/ja00199a039
20,-0.05018,0.02695,C1CC[C@H]2CCCC[C@@H]2C1,2,0.0184511,3,10.1021/ja00199a039
21,-0.03858,0.03055,C1CC[C@H]2CCCC[C@@H]2C1,3,0.0480585,3,10.1021/ja00199a039
22,-0.05302,0.02666,C1CC[C@H]2CCCC[C@H]2C1,0,0.0072136,3,10.1021/ja00199a039
23,-0.05018,0.02695,C1CC[C@H]2CCCC[C@H]2C1,2,0.0186042,3,10.1021/ja00199a039
24,-0.03858,0.03055,C1CC[C@H]2CCCC[C@H]2C1,3,0.065619,3,10.1021/ja00199a039
25,-0.05017,0.02695,C1CC2CCC1C2,0,0.0470082,0,10.1021/ja00199a039
26,-0.04114,0.03028,C1CC2CCC1C2,2,-0.1620327,0,10.1021/ja00199a039
27,-0.04759,0.02722,C1CC2CCC1C2,6,-0.1154467,0,10.1021/ja00199a039
28,-0.05018,0.02695,C1CC2CCC1CC2,0,0.0689618,2,10.1021/ja00199a039
29,-0.0414,0.03027,C1CC2CCC1CC2,2,0.0758441,2,10.1021/ja00199a039
30,-0.04755,0.02722,C1C2CC3CC1CC(C2)C3,0,-0.0210968,1,10.1021/ja00199a039
31,-0.04064,0.0303,C1C2CC3CC1CC(C2)C3,1,0.0078834,1,10.1021/ja00199a039
32,-0.06129,0.02337,CCc1ccccc1,0,-0.0468864,1,10.1021/ja00199a039
33,-0.03074,0.03131,CCc1ccccc1,1,0.2430236,1,10.1021/ja00199a039
34,-0.05906,0.06256,CCc1ccccc1,3,-0.2747659,1,10.1021/ja00199a039
35,-0.06199,0.06228,CCc1ccccc1,4,-0.2814755,1,10.1021/ja00199a039
36,-0.06225,0.06227,CCc1ccccc1,5,-0.2921714,1,10.1021/ja00199a039
37,-0.05868,0.02365,CC(C)c1ccccc1,0,-0.040662,1,10.1021/ja00199a039
38,-0.02188,0.03465,CC(C)c1ccccc1,1,0.2707342,1,10.1021/ja00199a039
39,-0.05878,0.06257,CC(C)c1ccccc1,4,-0.2638527,1,10.1021/ja00199a039
40,-0.06198,0.06228,CC(C)c1ccccc1,5,-0.2811042,1,10.1021/ja00199a039
41,-0.06225,0.06227,CC(C)c1ccccc1,6,-0.2927636,1,10.1021/ja00199a039
42,0.07751,0.06686,COc1ccc(C(C)O)cc1,0,0.0297882,6,10.1016/S0040-4039(00)78488-7
43,-0.01961,0.0662,COc1ccc(C(C)O)cc1,3,-0.2899985,6,10.1016/S0040-4039(00)78488-7
