,Buried_Volume_C_MMFF,Buried_Volume_H_max_MFF,Pyramidalization_C_MFF,Pyramidalization_H_max_MFF,Reactant_SMILES,Atom_nº,bde_avg,Reactive Atom,DOI
0,-0.396570303,-0.279550097,0.090768313,0.006500015,CCCCCCC,0,-0.0462713,1,10.1021/ja00199a039
1,-0.140764861,-0.076351741,0.086677386,-0.016501074,CCCCCCC,1,0.0212955,1,10.1021/ja00199a039
2,-0.106889495,-0.082324715,0.084068277,-0.018619109,CCCCCCC,2,0.0161872,1,10.1021/ja00199a039
3,-0.105936512,-0.081862333,0.083954349,-0.018588814,CCCCCCC,3,0.0178053,1,10.1021/ja00199a039
4,-0.276286418,-0.139113378,0.097550047,0.004152462,CC(C)C(C)C,0,-0.0322797,1,10.1021/ja00199a039
5,0.065825644,-0.009724266,0.097016383,-0.052207291,CC(C)C(C)C,1,0.0648712,1,10.1021/ja00199a039
6,-0.259652283,-0.090257854,0.099043108,0.003362756,CC1CCCCC1,0,-0.0523689,1,10.1021/ja00199a039
7,0.048758074,-0.086238441,0.077937883,-0.044697894,CC1CCCCC1,1,0.1794336,1,10.1021/ja00199a039
8,-0.054423796,-0.103384525,0.089650016,-0.018459935,CC1CCCCC1,2,0.0220573,1,10.1021/ja00199a039
9,-0.091000236,-0.047664292,0.082801574,-0.015979909,CC1CCCCC1,3,0.0176521,1,10.1021/ja00199a039
10,-0.11589116,-0.11770513,0.081618068,-0.015371455,CC1CCCCC1,4,0.0119256,1,10.1021/ja00199a039
11,-0.270935938,-0.175195623,0.09824486,0.004389682,C[C@H]1CCCC[C@@H]1C,0,-0.0364644,1,10.1021/ja00199a039
12,0.124475681,0.083348108,0.08834059,-0.047260075,C[C@H]1CCCC[C@@H]1C,1,0.0461978,1,10.1021/ja00199a039
13,-0.047286475,-0.039671704,0.087488376,-0.01742428,C[C@H]1CCCC[C@@H]1C,2,0.012841,1,10.1021/ja00199a039
14,-0.128370349,-0.116367528,0.079424948,-0.014345043,C[C@H]1CCCC[C@@H]1C,3,0.0138672,1,10.1021/ja00199a039
15,-0.208407952,-0.052030492,0.101976763,0.002620802,C[C@@H]1CCCC[C@@H]1C,0,-0.0249873,1,10.1021/ja00199a039
16,0.119218491,-0.018735745,0.088680126,-0.049693376,C[C@@H]1CCCC[C@@H]1C,1,0.0679977,1,10.1021/ja00199a039
17,-0.051749992,-0.100499597,0.0894364,-0.01849177,C[C@@H]1CCCC[C@@H]1C,2,0.0153644,1,10.1021/ja00199a039
18,-0.088792876,-0.045116242,0.082640425,-0.015851543,C[C@@H]1CCCC[C@@H]1C,3,0.0264628,1,10.1021/ja00199a039
19,-0.121356456,-0.10829072,0.084039795,-0.017264593,C1CC[C@H]2CCCC[C@@H]2C1,0,0.0126345,3,10.1021/ja00199a039
20,-0.045898623,-0.064925972,0.092433016,-0.017749816,C1CC[C@H]2CCCC[C@@H]2C1,2,0.0184511,3,10.1021/ja00199a039
21,0.191049537,0.109949887,0.06737103,-0.048740902,C1CC[C@H]2CCCC[C@@H]2C1,3,0.0480585,3,10.1021/ja00199a039
22,-0.131730186,-0.175147733,0.090086991,-0.019868878,C1CC[C@H]2CCCC[C@H]2C1,0,0.0072136,3,10.1021/ja00199a039
23,-0.041644647,-0.01314919,0.083542108,-0.016098005,C1CC[C@H]2CCCC[C@H]2C1,2,0.0186042,3,10.1021/ja00199a039
24,0.181938796,0.07995456,0.0899146,-0.049621491,C1CC[C@H]2CCCC[C@H]2C1,3,0.065619,3,10.1021/ja00199a039
25,-0.098054315,-0.138515586,0.049422069,-0.002385976,C1CC2CCC1C2,0,0.0470082,0,10.1021/ja00199a039
26,0.031825414,-0.125129651,0.036539173,-0.00553145,C1CC2CCC1C2,2,-0.1620327,0,10.1021/ja00199a039
27,-0.069294053,-0.134015626,0.001264111,0.014633782,C1CC2CCC1C2,6,-0.1154467,0,10.1021/ja00199a039
28,-0.059890528,-0.132957103,0.079811704,-0.015331405,C1CC2CCC1CC2,0,0.0689618,2,10.1021/ja00199a039
29,0.069871513,-0.103491864,0.058510103,-0.031622046,C1CC2CCC1CC2,2,0.0758441,2,10.1021/ja00199a039
30,-0.005996791,-0.094297084,0.075180367,-0.013522475,C1C2CC3CC1CC(C2)C3,0,-0.0210968,1,10.1021/ja00199a039
31,0.098824094,-0.095979821,0.062143068,-0.034032241,C1C2CC3CC1CC(C2)C3,1,0.0078834,1,10.1021/ja00199a039
32,-0.349788054,-0.219856689,0.094077481,0.005193251,CCc1ccccc1,0,-0.0468864,1,10.1021/ja00199a039
33,-0.127349912,-0.140094287,0.084663403,-0.016291581,CCc1ccccc1,1,0.2430236,1,10.1021/ja00199a039
34,-0.034899139,-0.130399145,-0.51218393,0.163827132,CCc1ccccc1,3,-0.2747659,1,10.1021/ja00199a039
35,-0.137905914,-0.244063994,-0.511706481,0.163690037,CCc1ccccc1,4,-0.2814755,1,10.1021/ja00199a039
36,-0.142620593,-0.244486743,-0.51135795,0.163590939,CCc1ccccc1,5,-0.2921714,1,10.1021/ja00199a039
37,-0.272975378,-0.147162113,0.098683334,0.003579951,CC(C)c1ccccc1,0,-0.040662,1,10.1021/ja00199a039
38,0.053263212,-0.008061346,0.072602739,-0.048376343,CC(C)c1ccccc1,1,0.2707342,1,10.1021/ja00199a039
39,-0.034389638,-0.142373166,-0.512641892,0.163959092,CC(C)c1ccccc1,4,-0.2638527,1,10.1021/ja00199a039
40,-0.139411454,-0.244245644,-0.512643391,0.163959605,CC(C)c1ccccc1,5,-0.2811042,1,10.1021/ja00199a039
41,-0.142904765,-0.244841786,-0.512642642,0.163959092,CC(C)c1ccccc1,6,-0.2927636,1,10.1021/ja00199a039
42,-0.385411511,-0.23610113,0.076537014,0.012556824,COc1ccc(C(C)O)cc1,0,0.0297882,6,10.1016/S0040-4039(00)78488-7
43,-0.068750107,-0.184129487,-0.511394677,0.163599154,COc1ccc(C(C)O)cc1,3,-0.2899985,6,10.1016/S0040-4039(00)78488-7
44,0.009667139,-0.06266691,-0.508783319,0.162845904,COc1ccc(C(C)O)cc1,4,-0.2786066,6,10.1016/S0040-4039(00)78488-7
45,-0.00719089,-0.053733045,0.079063675,-0.036631391,COc1ccc(C(C)O)cc1,6,0.3389235,6,10.1016/S0040-4039(00)78488-7
46,-0.294121827,-0.171666664,0.097116819,0.005090559,COc1ccc(C(C)O)cc1,7,-0.0800801,6,10.1016/S0040-4039(00)78488-7
47,-0.342299105,-0.268481023,0.087478632,0.008535895,Cc1ccc(C(C)O)cc1,0,0.1892307,5,10.1016/S0040-4039(00)78488-7
48,-0.061829503,-0.166108182,-0.511431404,0.163609937,Cc1ccc(C(C)O)cc1,2,-0.2831078,5,10.1016/S0040-4039(00)78488-7
49,-0.038919175,-0.148306507,-0.511737961,0.163698252,Cc1ccc(C(C)O)cc1,3,-0.280042,5,10.1016/S0040-4039(00)78488-7
50,-0.00558632,-0.05013638,0.078034572,-0.043075865,Cc1ccc(C(C)O)cc1,5,0.3389235,5,10.1016/S0040-4039(00)78488-7
51,-0.294707395,-0.166694415,0.097269723,0.005219438,Cc1ccc(C(C)O)cc1,6,-0.0800801,5,10.1016/S0040-4039(00)78488-7
