,Buried_Volume_C,V_occ_avg,C_charge,Pyramidalization_H_max,Bmax_2.0_min,gas_charge_H_max,gas_charge_C,Buried_Volume_H_max_MFF,num_H,Pyramidalization_C_MFF,L_cc1_min,num_C,Bmax_2.0_avg,Bmin_3.5_avg,L_ch1_avg,n_Csp3,Pyramidalization_H_max_MFF,C_n_charge_min,Bmin_2.0_avg,Bmin_3.0_avg,Local_Nucleophilicity_H_max,dual_H_max,Reactant_SMILES,Atom_nº,bde_avg,DOI
0,-0.392978945,-0.301903912,-0.200635834,0.010478826,-0.232023804,-0.198063823,-0.181833575,-0.279550097,0.60415394,0.090768313,0.170652818,-0.303807778,-0.180877859,-0.022848084,-0.116178868,-0.173488088,0.006500015,0.006523669,-0.054535943,-0.039174597,0.143759591,0.160992668,CCCCCCC,0,-0.0462713,10.1021/ja00199a039
1,-0.142493372,-0.301893721,0.002185078,-0.010685701,0.075103333,-0.157434248,-0.146838515,-0.076351741,0.10415394,0.086677386,-0.145456605,0.029525555,0.010884407,-0.019645203,-0.116178868,0.159845245,-0.016501074,-0.082446133,-0.05779828,-0.037400053,0.227950259,-0.064455146,CCCCCCC,1,0.0212955,10.1021/ja00199a039
2,-0.107951347,-0.301894518,-0.031657421,-0.013274787,-0.102363786,-0.154139958,-0.136959345,-0.082324715,0.10415394,0.084068277,-0.081626818,0.029525555,-0.167555961,-0.022848084,-0.114478188,0.159845245,-0.018619109,-0.006111514,-0.05779828,-0.039174597,0.245522021,-0.015866204,CCCCCCC,2,0.0161872,10.1021/ja00199a039
3,-0.067819998,-0.301914734,-0.026618845,-0.01182921,-0.099346678,-0.154017947,-0.136047421,-0.081862333,0.10415394,0.083954349,-0.01779703,0.029525555,-0.129260418,-0.022848084,-0.116178868,0.159845245,-0.018588814,-0.014362427,-0.05779828,-0.039018224,0.085155207,0.107886789,CCCCCCC,3,0.0178053,10.1021/ja00199a039
4,-0.228093875,-0.326460531,-0.179149934,0.010233933,-0.110020687,-0.194647522,-0.171004485,-0.139113378,0.60415394,0.097550047,-0.078587304,-0.303807778,-0.147539938,-0.022538014,-0.076496351,-0.173488088,0.004152462,0.070887184,-0.05779828,-0.03914054,0.204498952,0.001447798,CC(C)C(C)C,0,-0.0322797,10.1021/ja00199a039
5,0.059253292,-0.326471353,0.148912018,-0.043842903,-0.093228825,-0.113510382,-0.10367414,-0.009724266,-0.39584606,0.097016383,-0.145456605,0.362858888,-0.158805026,-0.022848084,-0.092369344,0.493178579,-0.052207291,-0.079752782,-0.05779828,-0.039174597,0.320661726,-0.134004893,CC(C)C(C)C,1,0.0648712,10.1021/ja00199a039
6,-0.256543536,-0.317588664,-0.210066375,0.009920227,-0.117210285,-0.194647522,-0.170928491,-0.090257854,0.60415394,0.099043108,0.042993243,-0.303807778,-0.132981033,-0.022111231,-0.116178868,-0.173488088,0.003362756,0.062521804,-0.05779828,-0.036699493,0.134087719,0.011130116,CC1CCCCC1,0,-0.0523689,10.1021/ja00199a039
7,0.041926386,-0.317602672,0.129841795,-0.038835245,-0.232863885,-0.113388372,-0.10166031,-0.086238441,-0.39584606,0.077937883,-0.145456605,0.362858888,-0.298440086,-0.022848084,-0.116178868,0.493178579,-0.044697894,-0.086582951,-0.05779828,-0.039174597,0.358704426,0.03916838,CC1CCCCC1,1,0.1794336,10.1021/ja00199a039
8,-0.057507695,-0.317596796,-0.042267979,-0.010984227,-0.087724754,-0.150601646,-0.126092257,-0.103384525,0.10415394,0.089650016,-0.084666331,0.029525555,-0.15105417,-0.022848084,-0.116178868,0.159845245,-0.018459935,0.001417244,-0.05779828,-0.039174597,0.149462414,0.21695835,CC1CCCCC1,2,0.0220573,10.1021/ja00199a039
9,-0.091043641,-0.317586142,-0.009455836,-0.009781519,-0.23305969,-0.153895936,-0.13498351,-0.047664292,0.10415394,0.082801574,-0.084666331,0.029525555,-0.197056558,-0.022149551,-0.116178868,0.159845245,-0.015979909,-0.012976192,-0.05779828,-0.039102646,0.192558369,0.047254528,CC1CCCCC1,3,0.0176521,10.1021/ja00199a039
