,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,bde_avg,gas_charge_C,gas_charge_H_max,Buried_Volume_C,Buried_Volume_H_max,DOI
0,CCCCCCC,0,0.0,1,100.08565521240234,-0.06538,0.02304,0.24121,0.307841,10.1021/ja00199a039
1,CCCCCCC,1,34.74576271186441,1,97.01032257080078,-0.05617,0.02637,0.42047,0.432311,10.1021/ja00199a039
2,CCCCCCC,2,34.74576271186441,1,97.24282836914062,-0.05357,0.02664,0.44519,0.429003,10.1021/ja00199a039
3,CCCCCCC,3,30.508474576271187,1,97.16918182373047,-0.05333,0.02665,0.47391,0.474323,10.1021/ja00199a039
4,CC(C)C(C)C,0,0.0,1,99.44882202148438,-0.06253,0.02332,0.35921,0.411794,10.1021/ja00199a039
5,CC(C)C(C)C,1,100.0,1,95.0269546508789,-0.04481,0.02997,0.56485,0.473834,10.1021/ja00199a039
6,CC1CCCCC1,0,0.0,1,100.36318969726562,-0.06251,0.02332,0.33885,0.426563,10.1021/ja00199a039
7,CC1CCCCC1,1,95.74468085106383,1,89.81259155273438,-0.04428,0.02998,0.55245,0.423768,10.1021/ja00199a039
8,CC1CCCCC1,2,0.0,1,96.97564697265625,-0.05071,0.02693,0.48129,0.417414,10.1021/ja00199a039
9,CC1CCCCC1,3,4.25531914893617,1,97.17615509033203,-0.05305,0.02666,0.45729,0.455268,10.1021/ja00199a039
10,CC1CCCCC1,4,0.0,1,97.43679809570312,-0.05329,0.02665,0.43804,0.410868,10.1021/ja00199a039
11,C[C@H]1CCCC[C@@H]1C,0,0.0,1,99.63928985595703,-0.06225,0.02333,0.33454,0.380742,10.1021/ja00199a039
12,C[C@H]1CCCC[C@@H]1C,1,90.0,1,95.87688446044922,-0.0417,0.03026,0.61115,0.535373,10.1021/ja00199a039
13,C[C@H]1CCCC[C@@H]1C,2,5.5,1,97.39513397216797,-0.05046,0.02694,0.48242,0.425148,10.1021/ja00199a039
14,C[C@H]1CCCC[C@@H]1C,3,4.5,1,97.34842681884766,-0.05303,0.02666,0.43633,0.42025,10.1021/ja00199a039
15,C[C@@H]1CCCC[C@@H]1C,0,0.0,1,99.11690521240234,-0.06225,0.02333,0.3759,0.450394,10.1021/ja00199a039
16,C[C@@H]1CCCC[C@@H]1C,1,100.0,1,94.88465118408203,-0.0417,0.03026,0.60231,0.465943,10.1021/ja00199a039
17,C[C@@H]1CCCC[C@@H]1C,2,0.0,1,97.28028106689453,-0.05046,0.02694,0.48308,0.419674,10.1021/ja00199a039
18,C[C@@H]1CCCC[C@@H]1C,3,0.0,1,96.77513122558594,-0.05303,0.02666,0.45802,0.456497,10.1021/ja00199a039
19,C1CC[C@H]2CCCC[C@@H]2C1,0,9.63855421686747,3,97.40453338623047,-0.05302,0.02666,0.42899,0.410967,10.1021/ja00199a039
20,C1CC[C@H]2CCCC[C@@H]2C1,2,10.843373493975903,3,97.13978576660156,-0.05018,0.02695,0.48717,0.460364,10.1021/ja00199a039
21,C1CC[C@H]2CCCC[C@@H]2C1,3,79.51807228915662,3,95.79219055175781,-0.03858,0.03055,0.65218,0.562069,10.1021/ja00199a039
22,C1CC[C@H]2CCCC[C@H]2C1,0,0.7342143906020557,3,97.6512680053711,-0.05302,0.02666,0.4384,0.418742,10.1021/ja00199a039
23,C1CC[C@H]2CCCC[C@H]2C1,2,0.978952520802741,3,97.13282012939453,-0.05018,0.02695,0.52587,0.523603,10.1021/ja00199a039
24,C1CC[C@H]2CCCC[C@H]2C1,3,98.2868330885952,3,94.992919921875,-0.03858,0.03055,0.65471,0.52347,10.1021/ja00199a039
25,C1CC2CCC1C2,0,100.0,0,95.83999633789062,-0.05017,0.02695,0.45101,0.394999,10.1021/ja00199a039
26,C1CC2CCC1C2,2,0.0,0,105.3545913696289,-0.04114,0.03028,0.53886,0.400042,10.1021/ja00199a039
