,Bmax_2.0_avg,Bmax_2.0_max,Bmax_2.0_min,Bmax_2.5_avg,Bmax_2.5_max,Bmax_2.5_min,Bmax_3.0_avg,Bmax_3.0_max,Bmax_3.0_min,Bmax_3.5_avg,Bmax_3.5_max,Bmax_3.5_min,Bmax_4.0_avg,Bmax_4.0_max,Bmax_4.0_min,Bmax_4.5_avg,Bmax_4.5_max,Bmax_4.5_min,Bmin_2.0_avg,Bmin_2.0_max,Bmin_2.0_min,Bmin_2.5_avg,Bmin_2.5_max,Bmin_2.5_min,Bmin_3.0_avg,Bmin_3.0_max,Bmin_3.0_min,Bmin_3.5_avg,Bmin_3.5_max,Bmin_3.5_min,Bmin_4.0_avg,Bmin_4.0_max,Bmin_4.0_min,Bmin_4.5_avg,Bmin_4.5_max,Bmin_4.5_min,L_avg,L_max,L_min,S_bur_2.0_avg,S_bur_2.0_max,S_bur_2.0_min,S_bur_2.5_avg,S_bur_2.5_max,S_bur_2.5_min,S_bur_3.0_avg,S_bur_3.0_max,S_bur_3.0_min,S_bur_3.5_avg,S_bur_3.5_max,S_bur_3.5_min,S_bur_4.0_avg,S_bur_4.0_max,S_bur_4.0_min,S_bur_4.5_avg,S_bur_4.5_max,S_bur_4.5_min,V_bur_2.0_avg,V_bur_2.0_max,V_bur_2.0_min,V_bur_2.5_avg,V_bur_2.5_max,V_bur_2.5_min,V_bur_3.0_avg,V_bur_3.0_max,V_bur_3.0_min,V_bur_3.5_avg,V_bur_3.5_max,V_bur_3.5_min,V_bur_4.0_avg,V_bur_4.0_max,V_bur_4.0_min,V_bur_4.5_avg,V_bur_4.5_max,V_bur_4.5_min,V_occ_avg,V_occ_max,V_occ_min,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
0,3.268478,5.352102,1.006231,2.127622,2.954657,0.585235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.963316,0.989949,0.95,0.511733,0.55,0.4926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.836425,36.860195,36.818789,21.370987,21.38104,21.359337,14.742153,14.750159,14.730744,9.127594,9.128438,9.126497,7.168569,7.171915,7.166626,6.470052,6.47063,6.469564,80.43108,80.447368,80.419802,53.509864,53.516098,53.506534,38.841692,38.844865,38.838825,28.515888,28.518951,28.510279,21.754655,21.75677,21.751653,17.303915,17.305353,17.301634,116.274167,116.27875,116.266625,CCCCCCC,0,0.0,1,10.1021/ja00199a039
1,6.985113,7.011419,6.958807,6.913121,6.914658,6.911584,6.579963,6.653007,6.506919,5.504202,5.508176,5.500227,2.616892,5.233784,0.0,0.0,0.0,0.0,0.95,0.95,0.95,0.494975,0.494975,0.494975,0.007399,0.012697,0.002102,0.012788,0.024824,0.000751,0.007514,0.015027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.727175,56.732861,56.721488,40.185342,40.186613,40.184071,25.512337,25.512447,25.512226,11.31135,11.314672,11.308029,8.238433,8.241291,8.235575,5.764638,5.76503,5.764245,87.194298,87.196725,87.19187,67.129938,67.131275,67.1286,53.342562,53.344166,53.340958,39.50302,39.504308,39.501732,29.665128,29.666155,29.664102,22.880809,22.881055,22.880564,116.280563,116.280875,116.28025,CCCCCCC,1,34.74576271186441,1,10.1021/ja00199a039
2,3.526676,3.534119,3.519233,3.099406,3.17805,3.020761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.95,0.95,0.497487,0.5,0.494975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.092538,58.09359,58.091485,42.266436,42.270921,42.26195,29.042132,29.048033,29.03623,15.895992,15.899849,15.892134,9.580494,9.581724,9.579264,6.623873,6.624116,6.623629,87.712539,87.716251,87.708827,68.17939,68.179551,68.179229,55.045769,55.048127,55.04341,42.330247,42.332353,42.328141,32.524891,32.526617,32.523164,25.14196,25.142454,25.141466,116.280063,116.281625,116.2785,CCCCCCC,2,34.74576271186441,1,10.1021/ja00199a039
3,4.2689,4.960091,3.577709,3.969547,4.732071,3.207024,1.9731,3.946201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.95,0.95,0.500702,0.50643,0.494975,0.000652,0.001304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.851586,59.859886,59.843287,45.435028,45.439666,45.43039,32.790504,32.799522,32.781487,19.220544,19.222818,19.21827,12.251381,12.260266,12.242497,6.843702,6.843983,6.843422,88.10378,88.108417,88.099142,69.670395,69.671047,69.669742,57.391794,57.393362,57.390226,45.154649,45.158346,45.150952,35.431646,35.432487,35.430804,27.674125,27.675985,27.672265,116.267375,116.273125,116.261625,CCCCCCC,3,30.508474576271187,1,10.1021/ja00199a039
4,3.914616,4.886972,3.370831,3.555158,4.728901,2.926175,1.34371,4.031129,0.0,0.733523,2.200568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.95,0.95,0.4926,0.4926,0.4926,0.000142,0.000425,0.0,0.001238,0.003714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.368664,42.390746,42.357129,30.179121,30.184841,30.171175,25.639707,25.653465,25.630732,18.541092,18.548706,18.530723,11.84469,11.85169,11.840009,7.299735,7.302745,7.29568,81.939366,81.949077,81.926667,57.930569,57.935156,57.9256,45.53892,45.540358,45.536155,36.841651,36.842486,36.840746,29.621227,29.622145,29.619859,23.622587,23.623886,23.621691,100.862042,100.864375,100.858625,CC(C)C(C)C,0,0.0,1,10.1021/ja00199a039
5,3.696282,3.696282,3.696282,3.231099,3.231099,3.231099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.95,0.95,0.494975,0.494975,0.494975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.20615,75.20615,75.20615,57.493771,57.493771,57.493771,35.810499,35.810499,35.810499,13.647822,13.647822,13.647822,5.321306,5.321306,5.321306,0.65361,0.65361,0.65361,93.450289,93.450289,93.450289,79.732491,79.732491,79.732491,66.701177,66.701177,66.701177,49.99255,49.99255,49.99255,36.61371,36.61371,36.61371,26.410339,26.410339,26.410339,100.85525,100.85525,100.85525,CC(C)C(C)C,1,100.0,1,10.1021/ja00199a039
6,4.196789,5.672081,3.231486,3.04277,5.423099,0.509902,1.724738,5.174215,0.0,0.918029,2.754088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.95,0.95,0.4926,0.4926,0.4926,0.01032,0.03096,0.0,0.002942,0.008826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.244315,41.263101,41.231956,28.648627,28.653607,28.64439,24.080912,24.088416,24.076056,17.211659,17.213441,17.208419,11.754682,11.760108,11.750913,8.059483,8.06017,8.058502,81.626621,81.637577,81.606577,57.075123,57.080411,57.068179,44.402302,44.408275,44.395666,35.529652,35.534944,35.525823,28.55792,28.560672,28.555121,22.905207,22.906844,22.904388,106.430167,106.434625,106.427625,CC1CCCCC1,0,0.0,1,10.1021/ja00199a039
7,0.989949,0.989949,0.989949,0.522015,0.522015,0.522015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.95,0.95,0.494975,0.494975,0.494975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.981016,72.981016,72.981016,56.010844,56.010844,56.010844,35.340609,35.340609,35.340609,14.245143,14.245143,14.245143,8.673668,8.673668,8.673668,3.029899,3.029899,3.029899,92.548284,92.548284,92.548284,78.357292,78.357292,78.357292,65.467666,65.467666,65.467666,49.194796,49.194796,49.194796,36.74153,36.74153,36.74153,27.520223,27.520223,27.520223,106.421375,106.421375,106.421375,CC1CCCCC1,1,95.74468085106383,1,10.1021/ja00199a039
8,3.846505,3.890051,3.802959,3.29583,3.298485,3.293175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.95,0.95,0.494975,0.494975,0.494975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.928564,59.936721,59.920407,46.527389,46.537083,46.517696,36.394164,36.394275,36.394054,22.508246,22.508489,22.508003,10.556623,10.563209,10.550037,1.770319,1.772135,1.768504,88.13257,88.140601,88.12454,69.871196,69.872725,69.869667,58.417341,58.419332,58.41535,47.37193,47.372243,47.371616,37.384833,37.386979,37.382687,27.715401,27.717022,27.713779,106.425063,106.430875,106.41925,CC1CCCCC1,2,0.0,1,10.1021/ja00199a039
9,2.954911,4.923667,0.986154,2.707518,4.900255,0.514782,2.316382,4.632764,0.0,1.769357,3.538714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.95,0.95,0.494975,0.494975,0.494975,0.0003,0.000601,0.0,0.002789,0.005577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.301513,57.316591,57.286435,43.36449,43.372594,43.356386,32.052816,32.058444,32.047188,19.199246,19.201433,19.197059,12.189623,12.1913,12.187945,4.67295,4.677611,4.668289,87.232807,87.234114,87.2315,68.007366,68.011093,68.003639,55.829036,55.829645,55.828428,44.017366,44.018932,44.015799,34.874577,34.875393,34.873761,26.805851,26.806588,26.805114,106.43175,106.434875,106.428625,CC1CCCCC1,3,4.25531914893617,1,10.1021/ja00199a039
