,C_spX,n_CAro,n_Csp2,n_Csp3,num_C,num_H,num_N,num_O,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
0,0,0,0,1,1,3,0,0,CCCCCCC,0,0.0,1,10.1021/ja00199a039
1,0,0,0,2,2,2,0,0,CCCCCCC,1,34.74576271186441,1,10.1021/ja00199a039
2,0,0,0,2,2,2,0,0,CCCCCCC,2,34.74576271186441,1,10.1021/ja00199a039
3,0,0,0,2,2,2,0,0,CCCCCCC,3,30.508474576271187,1,10.1021/ja00199a039
4,0,0,0,1,1,3,0,0,CC(C)C(C)C,0,0.0,1,10.1021/ja00199a039
5,0,0,0,3,3,1,0,0,CC(C)C(C)C,1,100.0,1,10.1021/ja00199a039
6,0,0,0,1,1,3,0,0,CC1CCCCC1,0,0.0,1,10.1021/ja00199a039
7,0,0,0,3,3,1,0,0,CC1CCCCC1,1,95.74468085106383,1,10.1021/ja00199a039
8,0,0,0,2,2,2,0,0,CC1CCCCC1,2,0.0,1,10.1021/ja00199a039
9,0,0,0,2,2,2,0,0,CC1CCCCC1,3,4.25531914893617,1,10.1021/ja00199a039
10,0,0,0,2,2,2,0,0,CC1CCCCC1,4,0.0,1,10.1021/ja00199a039
11,0,0,0,1,1,3,0,0,C[C@H]1CCCC[C@@H]1C,0,0.0,1,10.1021/ja00199a039
12,0,0,0,3,3,1,0,0,C[C@H]1CCCC[C@@H]1C,1,90.0,1,10.1021/ja00199a039
13,0,0,0,2,2,2,0,0,C[C@H]1CCCC[C@@H]1C,2,5.5,1,10.1021/ja00199a039
14,0,0,0,2,2,2,0,0,C[C@H]1CCCC[C@@H]1C,3,4.5,1,10.1021/ja00199a039
15,0,0,0,1,1,3,0,0,C[C@@H]1CCCC[C@@H]1C,0,0.0,1,10.1021/ja00199a039
16,0,0,0,3,3,1,0,0,C[C@@H]1CCCC[C@@H]1C,1,100.0,1,10.1021/ja00199a039
17,0,0,0,2,2,2,0,0,C[C@@H]1CCCC[C@@H]1C,2,0.0,1,10.1021/ja00199a039
18,0,0,0,2,2,2,0,0,C[C@@H]1CCCC[C@@H]1C,3,0.0,1,10.1021/ja00199a039
19,0,0,0,2,2,2,0,0,C1CC[C@H]2CCCC[C@@H]2C1,0,9.63855421686747,3,10.1021/ja00199a039
20,0,0,0,2,2,2,0,0,C1CC[C@H]2CCCC[C@@H]2C1,2,10.843373493975903,3,10.1021/ja00199a039
21,0,0,0,3,3,1,0,0,C1CC[C@H]2CCCC[C@@H]2C1,3,79.51807228915662,3,10.1021/ja00199a039
22,0,0,0,2,2,2,0,0,C1CC[C@H]2CCCC[C@H]2C1,0,0.7342143906020557,3,10.1021/ja00199a039
23,0,0,0,2,2,2,0,0,C1CC[C@H]2CCCC[C@H]2C1,2,0.978952520802741,3,10.1021/ja00199a039
24,0,0,0,3,3,1,0,0,C1CC[C@H]2CCCC[C@H]2C1,3,98.2868330885952,3,10.1021/ja00199a039
25,0,0,0,2,2,2,0,0,C1CC2CCC1C2,0,100.0,0,10.1021/ja00199a039
26,0,0,0,3,3,1,0,0,C1CC2CCC1C2,2,0.0,0,10.1021/ja00199a039
27,0,0,0,2,2,2,0,0,C1CC2CCC1C2,6,0.0,0,10.1021/ja00199a039
28,0,0,0,2,2,2,0,0,C1CC2CCC1CC2,0,19.444444444444443,2,10.1021/ja00199a039
29,0,0,0,3,3,1,0,0,C1CC2CCC1CC2,2,80.55555555555556,2,10.1021/ja00199a039
30,0,0,0,2,2,2,0,0,C1C2CC3CC1CC(C2)C3,0,93.02325581395348,0,10.1021/ja00199a039
31,0,0,0,3,3,1,0,0,C1C2CC3CC1CC(C2)C3,1,6.976744186046512,0,10.1021/ja00199a039
32,0,0,0,1,1,3,0,0,CCc1ccccc1,0,0.0,1,10.1021/ja00199a039
33,0,1,1,1,2,2,0,0,CCc1ccccc1,1,100.0,1,10.1021/ja00199a039
34,1,2,2,0,2,1,0,0,CCc1ccccc1,3,0.0,1,10.1021/ja00199a039
35,1,2,2,0,2,1,0,0,CCc1ccccc1,4,0.0,1,10.1021/ja00199a039
36,1,2,2,0,2,1,0,0,CCc1ccccc1,5,0.0,1,10.1021/ja00199a039
37,0,0,0,1,1,3,0,0,CC(C)c1ccccc1,0,0.0,1,10.1021/ja00199a039
38,0,1,1,2,3,1,0,0,CC(C)c1ccccc1,1,100.0,1,10.1021/ja00199a039
39,1,2,2,0,2,1,0,0,CC(C)c1ccccc1,4,0.0,1,10.1021/ja00199a039
40,1,2,2,0,2,1,0,0,CC(C)c1ccccc1,5,0.0,1,10.1021/ja00199a039
41,1,2,2,0,2,1,0,0,CC(C)c1ccccc1,6,0.0,1,10.1021/ja00199a039
42,0,0,0,0,0,3,0,1,COc1ccc(C(C)O)cc1,0,0.0,6,10.1016/S0040-4039(00)78488-7
43,1,2,2,0,2,1,0,0,COc1ccc(C(C)O)cc1,3,0.0,6,10.1016/S0040-4039(00)78488-7
44,1,2,2,0,2,1,0,0,COc1ccc(C(C)O)cc1,4,0.0,6,10.1016/S0040-4039(00)78488-7
45,0,1,1,1,2,1,0,1,COc1ccc(C(C)O)cc1,6,97.0873786407767,6,10.1016/S0040-4039(00)78488-7
46,0,0,0,1,1,3,0,0,COc1ccc(C(C)O)cc1,7,2.912621359223301,6,10.1016/S0040-4039(00)78488-7
47,0,1,1,0,1,3,0,0,Cc1ccc(C(C)O)cc1,0,0.0,5,10.1016/S0040-4039(00)78488-7
48,1,2,2,0,2,1,0,0,Cc1ccc(C(C)O)cc1,2,0.0,5,10.1016/S0040-4039(00)78488-7
49,1,2,2,0,2,1,0,0,Cc1ccc(C(C)O)cc1,3,0.0,5,10.1016/S0040-4039(00)78488-7
50,0,1,1,1,2,1,0,1,Cc1ccc(C(C)O)cc1,5,98.01980198019803,5,10.1016/S0040-4039(00)78488-7
51,0,0,0,1,1,3,0,0,Cc1ccc(C(C)O)cc1,6,1.9801980198019802,5,10.1016/S0040-4039(00)78488-7
52,0,0,0,1,1,3,0,0,CC(O)c1ccccc1,0,1.9607843137254901,1,10.1016/S0040-4039(00)78488-7
53,0,1,1,1,2,1,0,1,CC(O)c1ccccc1,1,98.03921568627452,1,10.1016/S0040-4039(00)78488-7
54,1,2,2,0,2,1,0,0,CC(O)c1ccccc1,4,0.0,1,10.1016/S0040-4039(00)78488-7
55,1,2,2,0,2,1,0,0,CC(O)c1ccccc1,5,0.0,1,10.1016/S0040-4039(00)78488-7
56,1,2,2,0,2,1,0,0,CC(O)c1ccccc1,6,0.0,1,10.1016/S0040-4039(00)78488-7
57,0,0,0,1,1,3,0,0,CC(O)c1ccc(F)cc1,0,1.9801980198019802,1,10.1016/S0040-4039(00)78488-7
58,0,1,1,1,2,1,0,1,CC(O)c1ccc(F)cc1,1,98.01980198019803,1,10.1016/S0040-4039(00)78488-7
59,1,2,2,0,2,1,0,0,CC(O)c1ccc(F)cc1,4,0.0,1,10.1016/S0040-4039(00)78488-7
60,1,2,2,0,2,1,0,0,CC(O)c1ccc(F)cc1,5,0.0,1,10.1016/S0040-4039(00)78488-7
61,0,0,0,1,1,3,0,0,CC(O)c1ccc(Cl)cc1,0,2.912621359223301,1,10.1016/S0040-4039(00)78488-7
62,0,1,1,1,2,1,0,1,CC(O)c1ccc(Cl)cc1,1,97.0873786407767,1,10.1016/S0040-4039(00)78488-7
63,1,2,2,0,2,1,0,0,CC(O)c1ccc(Cl)cc1,4,0.0,1,10.1016/S0040-4039(00)78488-7
64,1,2,2,0,2,1,0,0,CC(O)c1ccc(Cl)cc1,5,0.0,1,10.1016/S0040-4039(00)78488-7
65,0,0,0,1,1,3,0,0,CC(O)c1ccc(Br)cc1,0,2.9411764705882355,1,10.1016/S0040-4039(00)78488-7
66,0,1,1,1,2,1,0,1,CC(O)c1ccc(Br)cc1,1,97.05882352941177,1,10.1016/S0040-4039(00)78488-7
67,1,2,2,0,2,1,0,0,CC(O)c1ccc(Br)cc1,4,0.0,1,10.1016/S0040-4039(00)78488-7
68,1,2,2,0,2,1,0,0,CC(O)c1ccc(Br)cc1,5,0.0,1,10.1016/S0040-4039(00)78488-7
69,0,0,0,1,1,3,0,0,CC(O)c1ccc(C#N)cc1,0,1.9801980198019802,1,10.1016/S0040-4039(00)78488-7
70,0,1,1,1,2,1,0,1,CC(O)c1ccc(C#N)cc1,1,98.01980198019803,1,10.1016/S0040-4039(00)78488-7
71,1,2,2,0,2,1,0,0,CC(O)c1ccc(C#N)cc1,4,0.0,1,10.1016/S0040-4039(00)78488-7
72,1,2,2,0,2,1,0,0,CC(O)c1ccc(C#N)cc1,5,0.0,1,10.1016/S0040-4039(00)78488-7
73,1,2,2,0,2,1,0,0,c1ccc2c(c1)CCOC2,0,0.0,9,10.1016/S0040-4020(97)00622-4
74,1,2,2,0,2,1,0,0,c1ccc2c(c1)CCOC2,1,0.0,9,10.1016/S0040-4020(97)00622-4
75,1,2,2,0,2,1,0,0,c1ccc2c(c1)CCOC2,2,0.0,9,10.1016/S0040-4020(97)00622-4
76,1,2,2,0,2,1,0,0,c1ccc2c(c1)CCOC2,5,0.0,9,10.1016/S0040-4020(97)00622-4
77,0,1,1,1,2,2,0,0,c1ccc2c(c1)CCOC2,6,0.0,9,10.1016/S0040-4020(97)00622-4
78,0,0,0,1,1,2,0,1,c1ccc2c(c1)CCOC2,7,0.0,9,10.1016/S0040-4020(97)00622-4
79,0,1,1,0,1,2,0,1,c1ccc2c(c1)CCOC2,9,100.0,9,10.1016/S0040-4020(97)00622-4
80,0,0,0,1,1,3,0,0,CC1Cc2ccccc2CO1,0,0.0,9,10.1016/S0040-4020(97)00622-4
81,0,0,0,2,2,1,0,1,CC1Cc2ccccc2CO1,1,0.0,9,10.1016/S0040-4020(97)00622-4
82,0,1,1,1,2,2,0,0,CC1Cc2ccccc2CO1,2,0.0,9,10.1016/S0040-4020(97)00622-4
83,1,2,2,0,2,1,0,0,CC1Cc2ccccc2CO1,4,0.0,9,10.1016/S0040-4020(97)00622-4
84,1,2,2,0,2,1,0,0,CC1Cc2ccccc2CO1,5,0.0,9,10.1016/S0040-4020(97)00622-4
85,1,2,2,0,2,1,0,0,CC1Cc2ccccc2CO1,6,0.0,9,10.1016/S0040-4020(97)00622-4
