,gas_charge_C,gas_charge_H_max,gas_charge_H_mean,gas_charge_H_min,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
0,-0.06538,0.02304,0.02304,0.02304,CCCCCCC,0,0.0,1,10.1021/ja00199a039
1,-0.05617,0.02637,0.02637,0.02637,CCCCCCC,1,34.74576271186441,1,10.1021/ja00199a039
2,-0.05357,0.02664,0.02664,0.02664,CCCCCCC,2,34.74576271186441,1,10.1021/ja00199a039
3,-0.05333,0.02665,0.02665,0.02665,CCCCCCC,3,30.508474576271187,1,10.1021/ja00199a039
4,-0.06253,0.02332,0.023319999999999997,0.02332,CC(C)C(C)C,0,0.0,1,10.1021/ja00199a039
5,-0.04481,0.02997,0.02997,0.02997,CC(C)C(C)C,1,100.0,1,10.1021/ja00199a039
6,-0.06251,0.02332,0.023319999999999997,0.02332,CC1CCCCC1,0,0.0,1,10.1021/ja00199a039
7,-0.04428,0.02998,0.02998,0.02998,CC1CCCCC1,1,95.74468085106383,1,10.1021/ja00199a039
8,-0.05071,0.02693,0.02693,0.02693,CC1CCCCC1,2,0.0,1,10.1021/ja00199a039
9,-0.05305,0.02666,0.02666,0.02666,CC1CCCCC1,3,4.25531914893617,1,10.1021/ja00199a039
10,-0.05329,0.02665,0.02665,0.02665,CC1CCCCC1,4,0.0,1,10.1021/ja00199a039
11,-0.06225,0.02333,0.02333,0.02333,C[C@H]1CCCC[C@@H]1C,0,0.0,1,10.1021/ja00199a039
12,-0.0417,0.03026,0.03026,0.03026,C[C@H]1CCCC[C@@H]1C,1,90.0,1,10.1021/ja00199a039
13,-0.05046,0.02694,0.02694,0.02694,C[C@H]1CCCC[C@@H]1C,2,5.5,1,10.1021/ja00199a039
14,-0.05303,0.02666,0.02666,0.02666,C[C@H]1CCCC[C@@H]1C,3,4.5,1,10.1021/ja00199a039
15,-0.06225,0.02333,0.02333,0.02333,C[C@@H]1CCCC[C@@H]1C,0,0.0,1,10.1021/ja00199a039
16,-0.0417,0.03026,0.03026,0.03026,C[C@@H]1CCCC[C@@H]1C,1,100.0,1,10.1021/ja00199a039
17,-0.05046,0.02694,0.02694,0.02694,C[C@@H]1CCCC[C@@H]1C,2,0.0,1,10.1021/ja00199a039
18,-0.05303,0.02666,0.02666,0.02666,C[C@@H]1CCCC[C@@H]1C,3,0.0,1,10.1021/ja00199a039
19,-0.05302,0.02666,0.02666,0.02666,C1CC[C@H]2CCCC[C@@H]2C1,0,9.63855421686747,3,10.1021/ja00199a039
20,-0.05018,0.02695,0.02695,0.02695,C1CC[C@H]2CCCC[C@@H]2C1,2,10.843373493975903,3,10.1021/ja00199a039
21,-0.03858,0.03055,0.03055,0.03055,C1CC[C@H]2CCCC[C@@H]2C1,3,79.51807228915662,3,10.1021/ja00199a039
22,-0.05302,0.02666,0.02666,0.02666,C1CC[C@H]2CCCC[C@H]2C1,0,0.7342143906020557,3,10.1021/ja00199a039
23,-0.05018,0.02695,0.02695,0.02695,C1CC[C@H]2CCCC[C@H]2C1,2,0.978952520802741,3,10.1021/ja00199a039
24,-0.03858,0.03055,0.03055,0.03055,C1CC[C@H]2CCCC[C@H]2C1,3,98.2868330885952,3,10.1021/ja00199a039
25,-0.05017,0.02695,0.02695,0.02695,C1CC2CCC1C2,0,100.0,0,10.1021/ja00199a039
26,-0.04114,0.03028,0.03028,0.03028,C1CC2CCC1C2,2,0.0,0,10.1021/ja00199a039
27,-0.04759,0.02722,0.02722,0.02722,C1CC2CCC1C2,6,0.0,0,10.1021/ja00199a039
28,-0.05018,0.02695,0.02695,0.02695,C1CC2CCC1CC2,0,19.444444444444443,2,10.1021/ja00199a039
29,-0.0414,0.03027,0.03027,0.03027,C1CC2CCC1CC2,2,80.55555555555556,2,10.1021/ja00199a039
30,-0.04755,0.02722,0.02722,0.02722,C1C2CC3CC1CC(C2)C3,0,93.02325581395348,0,10.1021/ja00199a039
31,-0.04064,0.0303,0.0303,0.0303,C1C2CC3CC1CC(C2)C3,1,6.976744186046512,0,10.1021/ja00199a039
32,-0.06129,0.02337,0.02337,0.02337,CCc1ccccc1,0,0.0,1,10.1021/ja00199a039
33,-0.03074,0.03131,0.03131,0.03131,CCc1ccccc1,1,100.0,1,10.1021/ja00199a039
34,-0.05906,0.06256,0.06256,0.06256,CCc1ccccc1,3,0.0,1,10.1021/ja00199a039
35,-0.06199,0.06228,0.06228,0.06228,CCc1ccccc1,4,0.0,1,10.1021/ja00199a039
36,-0.06225,0.06227,0.06227,0.06227,CCc1ccccc1,5,0.0,1,10.1021/ja00199a039
37,-0.05868,0.02365,0.02365,0.02365,CC(C)c1ccccc1,0,0.0,1,10.1021/ja00199a039
38,-0.02188,0.03465,0.03465,0.03465,CC(C)c1ccccc1,1,100.0,1,10.1021/ja00199a039
39,-0.05878,0.06257,0.06257,0.06257,CC(C)c1ccccc1,4,0.0,1,10.1021/ja00199a039
40,-0.06198,0.06228,0.06228,0.06228,CC(C)c1ccccc1,5,0.0,1,10.1021/ja00199a039
41,-0.06225,0.06227,0.06227,0.06227,CC(C)c1ccccc1,6,0.0,1,10.1021/ja00199a039
42,0.07751,0.06686,0.06686,0.06686,COc1ccc(C(C)O)cc1,0,0.0,6,10.1016/S0040-4039(00)78488-7
43,-0.01961,0.0662,0.0662,0.0662,COc1ccc(C(C)O)cc1,3,0.0,6,10.1016/S0040-4039(00)78488-7
44,-0.05277,0.0628,0.0628,0.0628,COc1ccc(C(C)O)cc1,4,0.0,6,10.1016/S0040-4039(00)78488-7
45,0.07615,0.06493,0.06493,0.06493,COc1ccc(C(C)O)cc1,6,97.0873786407767,6,10.1016/S0040-4039(00)78488-7
46,-0.03469,0.02603,0.02603,0.02603,COc1ccc(C(C)O)cc1,7,2.912621359223301,6,10.1016/S0040-4039(00)78488-7
47,-0.03977,0.02796,0.02796,0.02796,Cc1ccc(C(C)O)cc1,0,0.0,5,10.1016/S0040-4039(00)78488-7
48,-0.05896,0.06256,0.06256,0.06256,Cc1ccc(C(C)O)cc1,2,0.0,5,10.1016/S0040-4039(00)78488-7
49,-0.05619,0.06267,0.06267,0.06267,Cc1ccc(C(C)O)cc1,3,0.0,5,10.1016/S0040-4039(00)78488-7
50,0.07614,0.06493,0.06493,0.06493,Cc1ccc(C(C)O)cc1,5,98.01980198019803,5,10.1016/S0040-4039(00)78488-7
51,-0.03469,0.02603,0.02603,0.02603,Cc1ccc(C(C)O)cc1,6,1.9801980198019802,5,10.1016/S0040-4039(00)78488-7
52,-0.03469,0.02603,0.02603,0.02603,CC(O)c1ccccc1,0,1.9607843137254901,1,10.1016/S0040-4039(00)78488-7
53,0.07614,0.06493,0.06493,0.06493,CC(O)c1ccccc1,1,98.03921568627452,1,10.1016/S0040-4039(00)78488-7
54,-0.05646,0.06266,0.06266,0.06266,CC(O)c1ccccc1,4,0.0,1,10.1016/S0040-4039(00)78488-7
55,-0.0619,0.06228,0.06228,0.06228,CC(O)c1ccccc1,5,0.0,1,10.1016/S0040-4039(00)78488-7
56,-0.06225,0.06227,0.06227,0.06227,CC(O)c1ccccc1,6,0.0,1,10.1016/S0040-4039(00)78488-7
57,-0.03469,0.02603,0.02603,0.02603,CC(O)c1ccc(F)cc1,0,1.9801980198019802,1,10.1016/S0040-4039(00)78488-7
58,0.07615,0.06493,0.06493,0.06493,CC(O)c1ccc(F)cc1,1,98.01980198019803,1,10.1016/S0040-4039(00)78488-7
59,-0.05355,0.06276,0.06276,0.06276,CC(O)c1ccc(F)cc1,4,0.0,1,10.1016/S0040-4039(00)78488-7
60,-0.02595,0.06537,0.06537,0.06537,CC(O)c1ccc(F)cc1,5,0.0,1,10.1016/S0040-4039(00)78488-7
61,-0.03469,0.02603,0.02603,0.02603,CC(O)c1ccc(Cl)cc1,0,2.912621359223301,1,10.1016/S0040-4039(00)78488-7
62,0.07615,0.06493,0.06493,0.06493,CC(O)c1ccc(Cl)cc1,1,97.0873786407767,1,10.1016/S0040-4039(00)78488-7
63,-0.05498,0.06271,0.06271,0.06271,CC(O)c1ccc(Cl)cc1,4,0.0,1,10.1016/S0040-4039(00)78488-7
64,-0.04316,0.06385,0.06385,0.06385,CC(O)c1ccc(Cl)cc1,5,0.0,1,10.1016/S0040-4039(00)78488-7
65,-0.03469,0.02603,0.02603,0.02603,CC(O)c1ccc(Br)cc1,0,2.9411764705882355,1,10.1016/S0040-4039(00)78488-7
66,0.07615,0.06493,0.06493,0.06493,CC(O)c1ccc(Br)cc1,1,97.05882352941177,1,10.1016/S0040-4039(00)78488-7
67,-0.05534,0.0627,0.0627,0.0627,CC(O)c1ccc(Br)cc1,4,0.0,1,10.1016/S0040-4039(00)78488-7
68,-0.04761,0.06347,0.06347,0.06347,CC(O)c1ccc(Br)cc1,5,0.0,1,10.1016/S0040-4039(00)78488-7
69,-0.03469,0.02603,0.02603,0.02603,CC(O)c1ccc(C#N)cc1,0,1.9801980198019802,1,10.1016/S0040-4039(00)78488-7
70,0.07615,0.06493,0.06493,0.06493,CC(O)c1ccc(C#N)cc1,1,98.01980198019803,1,10.1016/S0040-4039(00)78488-7
71,-0.05514,0.0627,0.0627,0.0627,CC(O)c1ccc(C#N)cc1,4,0.0,1,10.1016/S0040-4039(00)78488-7
72,-0.04402,0.06367,0.06367,0.06367,CC(O)c1ccc(C#N)cc1,5,0.0,1,10.1016/S0040-4039(00)78488-7
73,-0.06197,0.06228,0.06228,0.06228,c1ccc2c(c1)CCOC2,0,0.0,9,10.1016/S0040-4020(97)00622-4
74,-0.06189,0.06228,0.06228,0.06228,c1ccc2c(c1)CCOC2,1,0.0,9,10.1016/S0040-4020(97)00622-4
75,-0.05645,0.06266,0.06266,0.06266,c1ccc2c(c1)CCOC2,2,0.0,9,10.1016/S0040-4020(97)00622-4
76,-0.0586,0.06257,0.06257,0.06257,c1ccc2c(c1)CCOC2,5,0.0,9,10.1016/S0040-4020(97)00622-4
77,-0.00388,0.03398,0.03398,0.03398,c1ccc2c(c1)CCOC2,6,0.0,9,10.1016/S0040-4020(97)00622-4
78,0.05107,0.05702,0.05702,0.05702,c1ccc2c(c1)CCOC2,7,0.0,9,10.1016/S0040-4020(97)00622-4
79,0.07192,0.06184,0.06184,0.06184,c1ccc2c(c1)CCOC2,9,100.0,9,10.1016/S0040-4020(97)00622-4
80,-0.03833,0.02569,0.02569,0.02569,CC1Cc2ccccc2CO1,0,0.0,9,10.1016/S0040-4020(97)00622-4
81,0.05915,0.0604,0.0604,0.0604,CC1Cc2ccccc2CO1,1,0.0,9,10.1016/S0040-4020(97)00622-4
82,-0.00129,0.03427,0.03427,0.03427,CC1Cc2ccccc2CO1,2,0.0,9,10.1016/S0040-4020(97)00622-4
83,-0.05859,0.06257,0.06257,0.06257,CC1Cc2ccccc2CO1,4,0.0,9,10.1016/S0040-4020(97)00622-4
84,-0.06197,0.06228,0.06228,0.06228,CC1Cc2ccccc2CO1,5,0.0,9,10.1016/S0040-4020(97)00622-4
85,-0.06189,0.06228,0.06228,0.06228,CC1Cc2ccccc2CO1,6,0.0,9,10.1016/S0040-4020(97)00622-4
86,-0.05645,0.06266,0.06266,0.06266,CC1Cc2ccccc2CO1,7,0.0,9,10.1016/S0040-4020(97)00622-4
87,0.07228,0.06185,0.06185,0.06185,CC1Cc2ccccc2CO1,9,100.0,9,10.1016/S0040-4020(97)00622-4
88,-0.06189,0.06228,0.06228,0.06228,c1ccc2c(c1)COC2,0,0.0,6,10.1016/S0040-4020(97)00622-4
89,-0.05636,0.06266,0.06266,0.06266,c1ccc2c(c1)COC2,2,0.0,6,10.1016/S0040-4020(97)00622-4
90,0.07245,0.06186,0.06186,0.06186,c1ccc2c(c1)COC2,6,100.0,6,10.1016/S0040-4020(97)00622-4
91,-0.06225,0.06227,0.06227,0.06227,c1ccc(Cc2ccccc2)cc1,0,0.0,4,10.1016/S0040-4020(97)00622-4
