,Buried_Volume_C_MMFF,Buried_Volume_H_max_MFF,Buried_Volume_H_mean_MFF,Buried_Volume_H_min_MFF,Pyramidalization_C_MFF,Pyramidalization_H_max_MFF,Pyramidalization_H_mean_MFF,Pyramidalization_H_min_MFF,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
0,0.241893,0.30702,0.2938,0.269055,0.805056,1.693338,1.693109,1.692735,CCCCCCC,0,0.0,1,10.1021/ja00199a039
1,0.420128,0.430069,0.416957,0.403845,0.799598,1.648542,1.647779,1.647017,CCCCCCC,1,34.74576271186441,1,10.1021/ja00199a039
2,0.443731,0.426452,0.410198,0.393945,0.796117,1.644417,1.642911,1.641406,CCCCCCC,2,34.74576271186441,1,10.1021/ja00199a039
3,0.444395,0.426732,0.410507,0.394282,0.795965,1.644476,1.642963,1.641451,CCCCCCC,3,30.508474576271187,1,10.1021/ja00199a039
4,0.325702,0.392063,0.3501,0.320426,0.814104,1.688766,1.688213,1.687455,CC(C)C(C)C,0,0.0,1,10.1021/ja00199a039
5,0.564072,0.470416,0.470416,0.470416,0.813392,1.579002,1.579002,1.579002,CC(C)C(C)C,1,100.0,1,10.1021/ja00199a039
6,0.337292,0.421648,0.361701,0.331602,0.816096,1.687228,1.687135,1.686949,CC1CCCCC1,0,0.0,1,10.1021/ja00199a039
7,0.55218,0.424082,0.424082,0.424082,0.787938,1.593627,1.593627,1.593627,CC1CCCCC1,1,95.74468085106383,1,10.1021/ja00199a039
8,0.480287,0.413699,0.403856,0.394014,0.803564,1.644727,1.64394,1.643152,CC1CCCCC1,2,0.0,1,10.1021/ja00199a039
9,0.454802,0.447441,0.400016,0.35259,0.794427,1.649557,1.649393,1.649228,CC1CCCCC1,3,4.25531914893617,1,10.1021/ja00199a039
10,0.437459,0.405027,0.377265,0.349504,0.792848,1.650742,1.650641,1.65054,CC1CCCCC1,4,0.0,1,10.1021/ja00199a039
11,0.32943,0.370213,0.353083,0.325801,0.815031,1.689228,1.687694,1.686911,C[C@H]1CCCC[C@@H]1C,0,0.0,1,10.1021/ja00199a039
12,0.604937,0.526777,0.526777,0.526777,0.801817,1.588637,1.588637,1.588637,C[C@H]1CCCC[C@@H]1C,1,90.0,1,10.1021/ja00199a039
13,0.48526,0.452281,0.423194,0.394108,0.80068,1.646744,1.646283,1.645822,C[C@H]1CCCC[C@@H]1C,2,5.5,1,10.1021/ja00199a039
