,C_n_charge_avg,gas_charge_C,Buried_Volume_C_MMFF,Buried_Volume_H_max_MFF,S_bur_2.0_avg,L_cc1_min,Pyramidalization_H_max,num_O,Pyramidalization_H_max_MFF,gas_charge_H_max,dual_H_max,charge_C,Bmax_2.0_min,Buried_Volume_C,Bmin_3.0_avg,Bmax_2.0_avg,Bmin_2.0_avg,Local_Nucleophilicity_H_max,V_occ_avg,num_H,num_C,Pyramidalization_C_MFF,L_ch1_avg,bde_avg,n_Csp3,C_charge,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
0,-0.11761,-0.06538,0.241893,0.30702,36.836425,8.4,1.695567,0,1.693338,0.02304,0.026499,-0.10193,1.006231,0.24121,0.0,3.268478,0.963316,0.070655,116.274167,3,1,0.805056,2.15,100.08565521240234,1,-0.223316,CCCCCCC,0,0.0,1,10.1021/ja00199a039
1,-0.179282,-0.05617,0.420128,0.430069,56.727175,3.2,1.653738,0,1.648542,0.02637,-0.014179,-0.05312,6.958807,0.42047,0.007399,6.985113,0.95,0.088282,116.280563,2,2,0.799598,2.15,97.01032257080078,2,-0.11761,CCCCCCC,1,34.74576271186441,1,10.1021/ja00199a039
2,-0.125116,-0.05357,0.443731,0.426452,58.092538,4.25,1.648621,0,1.644417,0.02664,-0.005412,-0.05876,3.519233,0.44519,0.0,3.526676,0.95,0.091961,116.280063,2,2,0.796117,2.175,97.24282836914062,2,-0.135248,CCCCCCC,2,34.74576271186441,1,10.1021/ja00199a039
3,-0.138836,-0.05333,0.444395,0.426732,59.851586,5.3,1.651478,0,1.644476,0.02665,0.016917,-0.05831,3.577709,0.47391,0.000652,4.2689,0.95,0.058385,116.267375,2,2,0.795965,2.15,97.16918182373048,2,-0.132622,CCCCCCC,3,30.508474576271187,1,10.1021/ja00199a039
4,-0.041139,-0.06253,0.325702,0.392063,42.368664,4.3,1.695083,0,1.688766,0.02332,-0.002288,-0.10398,3.370831,0.35921,0.000142,3.914616,0.95,0.083372,100.862042,3,1,0.814104,2.733333,99.44882202148438,1,-0.212118,CC(C)C(C)C,0,0.0,1,10.1021/ja00199a039
5,-0.158569,-0.04481,0.564072,0.470416,75.20615,3.2,1.588207,0,1.579002,0.02997,-0.026728,-0.01449,3.696282,0.56485,0.0,3.696282,0.95,0.107693,100.85525,1,3,0.813392,2.5,95.0269546508789,3,-0.041139,CC(C)C(C)C,1,100.0,1,10.1021/ja00199a039
6,-0.051078,-0.06251,0.337292,0.421648,41.244315,6.3,1.694463,0,1.687228,0.02332,-0.000541,-0.10332,3.231486,0.33885,0.01032,4.196789,0.95,0.06863,106.430167,3,1,0.816096,2.15,100.36318969726562,1,-0.228231,CC1CCCCC1,0,0.0,1,10.1021/ja00199a039
7,-0.174573,-0.04428,0.55218,0.424082,72.981016,3.2,1.598104,0,1.593627,0.02998,0.004518,-0.01145,0.989949,0.55245,0.0,0.989949,0.95,0.115658,106.421375,1,3,0.787938,2.15,89.81259155273438,3,-0.051078,CC1CCCCC1,1,95.74468085106383,1,10.1021/ja00199a039
8,-0.087377,-0.05071,0.480287,0.413699,59.928564,4.2,1.653148,0,1.644727,0.02693,0.036597,-0.05784,3.802959,0.48129,0.0,3.846505,0.95,0.071849,106.425063,2,2,0.803564,2.15,96.97564697265624,2,-0.140778,CC1CCCCC1,2,0.0,1,10.1021/ja00199a039
9,-0.130661,-0.05305,0.454802,0.447441,57.301513,4.2,1.655525,0,1.649557,0.02666,0.005977,-0.05349,0.986154,0.45729,0.0003,2.954911,0.95,0.080872,106.43175,2,2,0.794427,2.15,97.17615509033205,2,-0.123677,CC1CCCCC1,3,4.25531914893617,1,10.1021/ja00199a039
10,-0.127668,-0.05329,0.437459,0.405027,55.358282,4.25,1.658397,0,1.650742,0.02665,-0.000304,-0.05416,0.986154,0.43804,0.0,0.986154,0.95,0.095683,106.425063,2,2,0.792848,2.15,97.43679809570312,2,-0.120544,CC1CCCCC1,4,0.0,1,10.1021/ja00199a039
11,-0.037745,-0.06225,0.32943,0.370213,42.699879,6.3,1.696338,0,1.689228,0.02333,0.009031,-0.10467,3.25,0.33454,0.017557,4.626782,0.95,0.056991,121.527125,3,1,0.815031,2.483333,99.63928985595705,1,-0.235353,C[C@H]1CCCC[C@@H]1C,0,0.0,1,10.1021/ja00199a039
12,-0.136846,-0.0417,0.604937,0.526777,76.187463,3.2,1.608469,0,1.588637,0.03026,-0.004476,-0.01743,3.798026,0.61115,0.0,3.798026,0.95,0.08559,121.51675,1,3,0.801817,2.15,95.87688446044922,3,-0.037745,C[C@H]1CCCC[C@@H]1C,1,90.0,1,10.1021/ja00199a039
13,-0.094409,-0.05046,0.48526,0.452281,60.337404,4.2,1.65105,0,1.646744,0.02694,0.014003,-0.06058,3.77955,0.48242,0.0,4.021676,0.95,0.087497,121.52775,2,2,0.80068,2.175,97.39513397216795,2,-0.135664,C[C@H]1CCCC[C@@H]1C,2,5.5,1,10.1021/ja00199a039
14,-0.145508,-0.05303,0.428764,0.405837,57.29726,4.25,1.65654,0,1.652741,0.02666,-0.008778,-0.05507,0.986154,0.43633,0.001689,3.312319,0.95,0.085918,121.52375,2,2,0.789922,2.15,97.34842681884766,2,-0.151072,C[C@H]1CCCC[C@@H]1C,3,4.5,1,10.1021/ja00199a039
15,-0.042671,-0.06225,0.372997,0.444797,42.969991,6.35,1.693433,0,1.685783,0.02333,-0.007107,-0.1029,3.444198,0.3759,0.000406,4.105185,0.95,0.062704,121.531375,3,1,0.82001,2.416667,99.11690521240234,1,-0.224064,C[C@@H]1CCCC[C@@H]1C,0,0.0,1,10.1021/ja00199a039
16,-0.135014,-0.0417,0.601274,0.464959,76.466779,3.2,1.592928,0,1.583898,0.03026,-0.024566,-0.01572,3.530581,0.60231,0.0,3.530581,0.95,0.108134,121.522875,1,3,0.80227,2.7,94.88465118408205,3,-0.042671,C[C@@H]1CCCC[C@@H]1C,1,100.0,1,10.1021/ja00199a039
