,Buried_Volume_C,Buried_Volume_H_max,Buried_Volume_H_mean,Buried_Volume_H_min,Local_Electrophilicity_C,Local_Electrophilicity_H_max,Local_Electrophilicity_H_mean,Local_Electrophilicity_H_min,Local_Nucleophilicity_C,Local_Nucleophilicity_H_max,Local_Nucleophilicity_H_mean,Local_Nucleophilicity_H_min,Nucleophilicity_C,Nucleophilicity_H_max,Nucleophilicity_H_mean,Nucleophilicity_H_min,Pyramidalization_C,Pyramidalization_H_max,Pyramidalization_H_mean,Pyramidalization_H_min,Radical_C,Radical_H_max,Radical_H_mean,Radical_H_min,charge_C,charge_H_max,charge_H_mean,charge_H_min,dual_C,dual_H_max,dual_H_mean,dual_H_min,electrophilicity_C,electrophilicity_H_max,electrophilicity_H_mean,electrophilicity_H_min,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
0,0.24121,0.307841,0.294344,0.269078,-0.00225,0.017848,0.01501,0.012804,-0.02081,0.070655,0.060838,0.05574,-0.02081,0.070655,0.060838,0.05574,0.80053,1.695567,1.69552,1.695479,-0.01144,0.06899,0.060785,0.052688,-0.10193,0.032323,0.032049,0.031809,0.01873,0.026499,-0.000106,-0.019955,-0.00208,0.08224,0.060732,0.049256,CCCCCCC,0,0.0,1,10.1021/ja00199a039
1,0.42047,0.432311,0.419956,0.407601,0.00065,0.015258,0.015094,0.01493,-0.00698,0.088282,0.07945,0.070617,-0.00698,0.088282,0.07945,0.070617,0.78982,1.653738,1.653088,1.652437,0.00072,0.065962,0.064745,0.063527,-0.05312,0.030313,0.029489,0.028666,0.0154,-0.014179,-0.02941,-0.04464,0.00841,0.056438,0.05004,0.043642,CCCCCCC,1,34.74576271186441,1,10.1021/ja00199a039
2,0.44519,0.429003,0.412042,0.39508,0.00369,0.019716,0.018315,0.016914,-0.0129,0.091961,0.081907,0.071854,-0.0129,0.091961,0.081907,0.071854,0.79794,1.648621,1.648008,1.647395,0.00941,0.082229,0.075689,0.069148,-0.05876,0.028645,0.028575,0.028505,0.04462,-0.005412,-0.012437,-0.019463,0.03172,0.072497,0.06947,0.066443,CCCCCCC,2,34.74576271186441,1,10.1021/ja00199a039
3,0.47391,0.474323,0.44565,0.416977,0.00455,0.015982,0.015418,0.014855,-0.00545,0.058385,0.05399,0.049596,-0.00545,0.058385,0.05399,0.049596,0.79056,1.651478,1.649351,1.647225,0.01369,0.063455,0.060755,0.058054,-0.05831,0.031775,0.030065,0.028355,0.03829,0.016917,0.013528,0.010139,0.03284,0.068525,0.067519,0.066513,CCCCCCC,3,30.508474576271187,1,10.1021/ja00199a039
4,0.35921,0.411794,0.378015,0.331398,-0.00664,0.018834,0.015069,0.011984,-0.02132,0.083372,0.06785,0.050894,-0.02132,0.083372,0.06785,0.050894,0.80202,1.695083,1.694719,1.694108,-0.02622,0.07885,0.06331,0.049751,-0.10398,0.036885,0.033546,0.030322,-0.00979,-0.002288,-0.009079,-0.015906,-0.03111,0.074328,0.058771,0.048607,CC(C)C(C)C,0,0.0,1,10.1021/ja00199a039
5,0.56485,0.473834,0.473834,0.473834,0.01053,0.022064,0.022064,0.022064,0.01873,0.107693,0.107693,0.107693,0.01873,0.107693,0.107693,0.107693,0.80002,1.588207,1.588207,1.588207,0.03864,0.094329,0.094329,0.094329,-0.01449,0.025926,0.025926,0.025926,0.03981,-0.026728,-0.026728,-0.026728,0.05854,0.080965,0.080965,0.080965,CC(C)C(C)C,1,100.0,1,10.1021/ja00199a039
6,0.33885,0.426563,0.364626,0.333617,-0.0032,0.014518,0.014437,0.014276,-0.02226,0.06863,0.063596,0.061079,-0.02226,0.06863,0.063596,0.061079,0.80324,1.694463,1.694082,1.693321,-0.01509,0.061449,0.061022,0.060809,-0.10332,0.038079,0.03278,0.03013,0.01432,-0.000541,-0.005148,-0.014362,-0.00793,0.060538,0.058448,0.054268,CC1CCCCC1,0,0.0,1,10.1021/ja00199a039
7,0.55245,0.423768,0.423768,0.423768,0.00247,0.028311,0.028311,0.028311,0.00947,0.115658,0.115658,0.115658,0.00947,0.115658,0.115658,0.115658,0.78163,1.598104,1.598104,1.598104,0.01016,0.117917,0.117917,0.117917,-0.01145,0.021115,0.021115,0.021115,0.00138,0.004518,0.004518,0.004518,0.01085,0.120176,0.120176,0.120176,CC1CCCCC1,1,95.74468085106383,1,10.1021/ja00199a039
8,0.48129,0.417414,0.406087,0.39476,-0.00209,0.01968,0.01764,0.015599,-0.00396,0.071849,0.065761,0.059672,-0.00396,0.071849,0.065761,0.059672,0.79103,1.653148,1.65211,1.651071,-0.00781,0.077971,0.072254,0.066538,-0.05784,0.028125,0.027283,0.026442,-0.0077,0.036597,0.012987,-0.010623,-0.01166,0.096269,0.078748,0.061227,CC1CCCCC1,2,0.0,1,10.1021/ja00199a039
9,0.45729,0.455268,0.404605,0.353941,-0.00122,0.017602,0.01691,0.016219,-0.00216,0.080872,0.072515,0.064159,-0.00216,0.080872,0.072515,0.064159,0.78343,1.655525,1.655508,1.655491,-0.00454,0.075042,0.071095,0.067147,-0.05349,0.031715,0.027686,0.023656,-0.00477,0.005977,-0.002842,-0.011661,-0.00693,0.070136,0.069674,0.069212,CC1CCCCC1,3,4.25531914893617,1,10.1021/ja00199a039
