,DOI,Catalyst,Solvent,Time (min),Temperature (ºC),rxn_ID,Reactant,Reactant_SMILES,Is Reactant Racemic,Product,Product_SMILES,Oxidation sites,Selectivity (%),Yield (%),Discard,Comments,Unnamed: 16,Unnamed: 17,Reactant_mapped,Product_mapped,Symmetry,Symmetry_groups,Group_idxes,Unique symmetry,Mapped_rxn,Mapped_reactivity,idx_to_rxn_map,idx_to_selectivity
0,10.1021/ja00199a039,TFDO,CH2Cl2/TFA,70,-22,1,heptane,CCCCCCC,FALSE,"2-heptanone,",CCCCCC(C)=O,1.0,41.0,98.0,,All the reactions where runned in DCM/TFA (from 9:1 to 7:3),,,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH3:7],[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][C:6]([CH3:7])=[O:8],True,"{0: 0, 1: 2, 2: 4, 3: 6, 4: 4, 5: 2, 6: 0}","{0: [0, 6], 2: [1, 5], 4: [2, 4], 6: [3]}","{0: 2, 1: 2, 2: 2, 3: 1}",[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH3:7]>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][C:6]([CH3:7])=[O:8],"{1: False, 2: False, 3: False, 4: False, 5: False, 6: True, 7: False}","{0: 1, 1: 2, 2: 3, 3: 4, 4: 5, 5: 6, 6: 7}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 41.0, 6: 0.0}"
1,10.1021/ja00199a039,TFDO,CH2Cl2/TFA,70,-22,1,heptane,CCCCCCC,FALSE,"3-heptanone,",CCCCC(=O)CC,1.0,41.0,98.0,,Conversions higher or equal to 50% or otherwise notice,,,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:7][CH3:8],[CH3:1][CH2:2][CH2:3][CH2:4][C:5](=[O:6])[CH2:7][CH3:8],True,"{0: 0, 1: 2, 2: 4, 3: 6, 4: 4, 5: 2, 6: 0}","{0: [0, 6], 2: [1, 5], 4: [2, 4], 6: [3]}","{0: 2, 1: 2, 2: 2, 3: 1}",[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:7][CH3:8]>>[CH3:1][CH2:2][CH2:3][CH2:4][C:5](=[O:6])[CH2:7][CH3:8],"{1: False, 2: False, 3: False, 4: False, 5: True, 7: False, 8: False}","{0: 1, 1: 2, 2: 3, 3: 4, 4: 5, 5: 7, 6: 8}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 41.0, 5: 0.0, 6: 0.0}"
2,10.1021/ja00199a039,TFDO,CH2Cl2/TFA,70,-22,1,heptane,CCCCCCC,FALSE,"4-heptanone,",CCCC(=O)CCC,1.0,18.0,98.0,,The yield was determined by GC/MS,,,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:6][CH2:7][CH3:8],[CH3:1][CH2:2][CH2:3][C:4](=[O:5])[CH2:6][CH2:7][CH3:8],True,"{0: 0, 1: 2, 2: 4, 3: 6, 4: 4, 5: 2, 6: 0}","{0: [0, 6], 2: [1, 5], 4: [2, 4], 6: [3]}","{0: 2, 1: 2, 2: 2, 3: 1}",[CH3:1][CH2:2][CH2:3][CH2:4][CH2:6][CH2:7][CH3:8]>>[CH3:1][CH2:2][CH2:3][C:4](=[O:5])[CH2:6][CH2:7][CH3:8],"{1: False, 2: False, 3: False, 4: True, 6: False, 7: False, 8: False}","{0: 1, 1: 2, 2: 3, 3: 4, 4: 6, 5: 7, 6: 8}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 18.0, 4: 0.0, 5: 0.0, 6: 0.0}"
3,10.1021/ja00199a039,TFDO,CH2Cl2/TFA,3,-22,2,"2,3-dimethylbutane",CC(C)C(C)C,FALSE,"2,3-dimethylbutan-2-ol,",CC(C)C(C)(C)O,1.0,99.0,99.0,,,,,[CH3:1][CH:2]([CH3:3])[CH:4]([CH3:5])[CH3:6],[CH3:1][CH:2]([CH3:3])[C:4]([CH3:5])([CH3:6])[OH:7],True,"{0: 0, 1: 4, 2: 0, 3: 4, 4: 0, 5: 0}","{0: [0, 2, 4, 5], 4: [1, 3]}","{0: 4, 1: 2}",[CH3:1][CH:2]([CH3:3])[CH:4]([CH3:5])[CH3:6]>>[CH3:1][CH:2]([CH3:3])[C:4]([CH3:5])([CH3:6])[OH:7],"{1: False, 2: False, 3: False, 4: True, 5: False, 6: False}","{0: 1, 1: 2, 2: 3, 3: 4, 4: 5, 5: 6}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 99.0, 4: 0.0, 5: 0.0}"
4,10.1021/ja00199a039,TFDO,CH2Cl2/TFA,8,-22,4,methylcyclohexane,CC1CCCCC1,FALSE,"1-methylcyclohexan-1-ol,",CC1(O)CCCCC1,1.0,90.0,98.0,,,,,[CH3:1][CH:2]1[CH2:4][CH2:5][CH2:6][CH2:7][CH2:8]1,[CH3:1][C:2]1([OH:3])[CH2:4][CH2:5][CH2:6][CH2:7][CH2:8]1,True,"{0: 0, 1: 6, 2: 4, 3: 2, 4: 1, 5: 2, 6: 4}","{0: [0], 6: [1], 4: [2, 6], 2: [3, 5], 1: [4]}","{0: 1, 1: 1, 2: 2, 3: 2, 4: 1}",[CH3:1][CH:2]1[CH2:4][CH2:5][CH2:6][CH2:7][CH2:8]1>>[CH3:1][C:2]1([OH:3])[CH2:4][CH2:5][CH2:6][CH2:7][CH2:8]1,"{1: False, 2: True, 4: False, 5: False, 6: False, 7: False, 8: False}","{0: 1, 1: 2, 2: 4, 3: 5, 4: 6, 5: 7, 6: 8}","{0: 0.0, 1: 90.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0}"
5,10.1021/ja00199a039,TFDO,CH2Cl2/TFA,8,-22,4,methylcyclohexane,CC1CCCCC1,FALSE,"3-methylcyclohexan-1-one,",CC1CCCC(=O)C1,1.0,8.0,98.0,,,,,[CH3:1][CH:2]1[CH2:3][CH2:4][CH2:5][CH2:6][CH2:8]1,[CH3:1][CH:2]1[CH2:3][CH2:4][CH2:5][C:6](=[O:7])[CH2:8]1,True,"{0: 0, 1: 6, 2: 4, 3: 2, 4: 1, 5: 2, 6: 4}","{0: [0], 6: [1], 4: [2, 6], 2: [3, 5], 1: [4]}","{0: 1, 1: 1, 2: 2, 3: 2, 4: 1}",[CH3:1][CH:2]1[CH2:3][CH2:4][CH2:5][CH2:6][CH2:8]1>>[CH3:1][CH:2]1[CH2:3][CH2:4][CH2:5][C:6](=[O:7])[CH2:8]1,"{1: False, 2: False, 3: False, 4: False, 5: False, 6: True, 8: False}","{0: 1, 1: 2, 2: 3, 3: 4, 4: 5, 5: 6, 6: 8}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 8.0, 6: 0.0}"
6,10.1021/ja00199a039,TFDO,CH2Cl2/TFA,10,-22,5,"(1S, 2S)-1,2-dimethylcyclohexane",C[C@H]1CCCC[C@@H]1C,FALSE,"(1R,2S)-1,2-dimethylcyclohexan-1-ol,",C[C@H]1CCCC[C@@]1(C)O,1.0,90.0,100.0,,,,,[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][CH2:6][C@@H:7]1[CH3:8],[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][CH2:6][C@@:7]1([CH3:8])[OH:9],True,"{0: 0, 1: 6, 2: 4, 3: 2, 4: 2, 5: 4, 6: 6, 7: 0}","{0: [0, 7], 6: [1, 6], 4: [2, 5], 2: [3, 4]}","{0: 2, 1: 2, 2: 2, 3: 2}",[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][CH2:6][C@@H:7]1[CH3:8]>>[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][CH2:6][C@@:7]1([CH3:8])[OH:9],"{1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: True, 8: False}","{0: 1, 1: 2, 2: 3, 3: 4, 4: 5, 5: 6, 6: 7, 7: 8}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 90.0, 7: 0.0}"
7,10.1021/ja00199a039,TFDO,CH2Cl2/TFA,10,-22,5,"(1S, 2S)-1,2-dimethylcyclohexane",C[C@H]1CCCC[C@@H]1C,FALSE,"(2R,3S)-2,3-dimethylcyclohexan-1-one,",C[C@H]1CCCC(=O)[C@@H]1C,1.0,5.5,100.0,,,,,[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][CH2:6][C@@H:8]1[CH3:9],[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][C:6](=[O:7])[C@@H:8]1[CH3:9],True,"{0: 0, 1: 6, 2: 4, 3: 2, 4: 2, 5: 4, 6: 6, 7: 0}","{0: [0, 7], 6: [1, 6], 4: [2, 5], 2: [3, 4]}","{0: 2, 1: 2, 2: 2, 3: 2}",[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][CH2:6][C@@H:8]1[CH3:9]>>[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][C:6](=[O:7])[C@@H:8]1[CH3:9],"{1: False, 2: False, 3: False, 4: False, 5: False, 6: True, 8: False, 9: False}","{0: 1, 1: 2, 2: 3, 3: 4, 4: 5, 5: 6, 6: 8, 7: 9}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 5.5, 6: 0.0, 7: 0.0}"
8,10.1021/ja00199a039,TFDO,CH2Cl2/TFA,10,-22,5,"(1S, 2S)-1,2-dimethylcyclohexane",C[C@H]1CCCC[C@@H]1C,FALSE,"(3S,4S)-3,4-dimethylcyclohexan-1-one,",C[C@H]1CCC(=O)C[C@@H]1C,1.0,4.5,100.0,,,,,[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][CH2:7][C@@H:8]1[CH3:9],[CH3:1][C@H:2]1[CH2:3][CH2:4][C:5](=[O:6])[CH2:7][C@@H:8]1[CH3:9],True,"{0: 0, 1: 6, 2: 4, 3: 2, 4: 2, 5: 4, 6: 6, 7: 0}","{0: [0, 7], 6: [1, 6], 4: [2, 5], 2: [3, 4]}","{0: 2, 1: 2, 2: 2, 3: 2}",[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][CH2:7][C@@H:8]1[CH3:9]>>[CH3:1][C@H:2]1[CH2:3][CH2:4][C:5](=[O:6])[CH2:7][C@@H:8]1[CH3:9],"{1: False, 2: False, 3: False, 4: False, 5: True, 7: False, 8: False, 9: False}","{0: 1, 1: 2, 2: 3, 3: 4, 4: 5, 5: 7, 6: 8, 7: 9}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 4.5, 5: 0.0, 6: 0.0, 7: 0.0}"
9,10.1021/ja00199a039,TFDO,CH2Cl2/TFA,4,-22,6,"(1R,2S)-1,2-dimethylcyclohexane",C[C@@H]1CCCC[C@@H]1C,FALSE,"(1S,2S)-1,2-dimethylcyclohexan-1-ol,",C[C@@H]1CCCC[C@@]1(C)O,1.0,98.0,98.0,,,,,[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][CH2:6][C@H:7]1[CH3:8],[CH3:1][C@@H:2]1[CH2:3][CH2:4][CH2:5][CH2:6][C@@:7]1([CH3:8])[OH:9],True,"{0: 0, 1: 6, 2: 4, 3: 2, 4: 2, 5: 4, 6: 6, 7: 0}","{0: [0, 7], 6: [1, 6], 4: [2, 5], 2: [3, 4]}","{0: 2, 1: 2, 2: 2, 3: 2}",[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][CH2:6][C@H:7]1[CH3:8]>>[CH3:1][C@@H:2]1[CH2:3][CH2:4][CH2:5][CH2:6][C@@:7]1([CH3:8])[OH:9],"{1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: True, 8: False}","{0: 8, 1: 7, 2: 6, 3: 5, 4: 4, 5: 3, 6: 2, 7: 1}","{0: 0.0, 1: 98.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0}"
