,Reactant_SMILES,Selectivity_Reduced
0,CCCCCCC,"{0: 0.0, 1: 34.74576271186441, 2: 34.74576271186441, 3: 30.508474576271187}"
3,CC(C)C(C)C,"{0: 0.0, 1: 100.0}"
4,CC1CCCCC1,"{0: 0.0, 1: 95.74468085106383, 2: 0.0, 3: 4.25531914893617, 4: 0.0}"
6,C[C@H]1CCCC[C@@H]1C,"{0: 0.0, 1: 90.0, 2: 5.5, 3: 4.5}"
9,C[C@@H]1CCCC[C@@H]1C,"{0: 0.0, 1: 100.0, 2: 0.0, 3: 0.0}"
10,C1CC[C@H]2CCCC[C@@H]2C1,"{0: 9.63855421686747, 2: 10.843373493975903, 3: 79.51807228915662}"
13,C1CC[C@H]2CCCC[C@H]2C1,"{0: 0.7342143906020557, 2: 0.978952520802741, 3: 98.2868330885952}"
17,C1CC2CCC1C2,"{0: 100.0, 2: 0.0, 6: 0.0}"
20,C1CC2CCC1CC2,"{0: 19.444444444444443, 2: 80.55555555555556}"
22,C1C2CC3CC1CC(C2)C3,"{0: 93.02325581395348, 1: 6.976744186046512}"
25,CCc1ccccc1,"{0: 0.0, 1: 100.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}"
26,CC(C)c1ccccc1,"{0: 0.0, 1: 100.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0}"
27,COc1ccc(C(C)O)cc1,"{0: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 97.0873786407767, 7: 2.912621359223301}"
29,Cc1ccc(C(C)O)cc1,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 98.01980198019803, 6: 1.9801980198019802}"
31,CC(O)c1ccccc1,"{0: 1.9607843137254901, 1: 98.03921568627452, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0}"
33,CC(O)c1ccc(F)cc1,"{0: 1.9801980198019802, 1: 98.01980198019803, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0}"
35,CC(O)c1ccc(Cl)cc1,"{0: 2.912621359223301, 1: 97.0873786407767, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0}"
37,CC(O)c1ccc(Br)cc1,"{0: 2.9411764705882355, 1: 97.05882352941177, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0}"
39,CC(O)c1ccc(C#N)cc1,"{0: 1.9801980198019802, 1: 98.01980198019803, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0}"
41,c1ccc2c(c1)CCOC2,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 9: 100.0}"
42,CC1Cc2ccccc2CO1,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 100.0}"
44,c1ccc2c(c1)COC2,"{0: 0.0, 2: 0.0, 3: 0.0, 6: 100.0}"
45,c1ccc(Cc2ccccc2)cc1,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 100.0}"
46,c1ccc2c(c1)Cc1ccccc1C2,"{0: 0.0, 2: 0.0, 3: 0.0, 6: 100.0}"
47,c1ccc2c(c1)Cc1ccccc1O2,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 100.0}"
48,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,"{0: 0.0, 1: 100.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0}"
49,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,"{0: 0.0, 1: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 100.0, 25: 0.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0}"
50,CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@H]4[C@@H]3C[C@@H](Br)[C@@]2(Br)C1,"{0: 0.0, 1: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 100.0, 21: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 30: 0.0, 32: 0.0}"
51,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](OC(C)=O)CC[C@]4(C)[C@H]3CC[C@]12C,"{0: 0.0, 2: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 100.0, 16: 0.0, 17: 0.0, 19: 0.0, 20: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0}"
52,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](OC(C)=O)CC[C@]4(C)[C@H]3C[C@H](OC(C)=O)[C@]12C,"{0: 0.0, 2: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 100.0, 16: 0.0, 17: 0.0, 19: 0.0, 20: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 30: 0.0, 31: 0.0, 33: 0.0, 34: 0.0}"
53,CC(=O)O[C@@H]1CC[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](OC(C)=O)CC[C@@H]32)C1,"{0: 0.0, 1: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 100.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 20: 0.0, 21: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0}"
54,CC(=O)O[C@@H]1CC[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,"{0: 0.0, 1: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 50.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 50.0, 25: 0.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0}"
55,COC(=O)[C@H](CC(C)C)NC(=O)OC(C)(C)C,"{0: 0.0, 2: 0.0, 4: 0.0, 5: 0.0, 6: 100.0, 7: 0.0, 10: 0.0, 13: 0.0, 14: 0.0}"
56,COC(=O)[C@H](Cc1cnc[nH]1)NC(=O)OC(C)(C)C,"{0: 0.0, 2: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 9: 100.0, 12: 0.0, 15: 0.0, 16: 0.0}"
57,COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)OC(C)(C)C,"{0: 0.0, 2: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 100.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 16: 0.0, 19: 0.0, 20: 0.0}"
58,COC(=O)[C@@H](NC(=O)OC(C)(C)C)[C@@H](C)O,"{0: 0.0, 2: 0.0, 4: 0.0, 6: 0.0, 9: 0.0, 10: 0.0, 13: 100.0, 14: 0.0}"
59,COC(=O)[C@H]1CCCN1C(=O)OC(C)(C)C,"{0: 0.0, 2: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 100.0, 9: 0.0, 12: 0.0, 13: 0.0}"
60,CCOC(=O)[C@H]1CCCN1C(=O)OCc1ccccc1,"{0: 0.0, 1: 0.0, 3: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 100.0, 10: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0}"
61,CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)O,"{0: 0.0, 1: 0.0, 5: 0.0, 8: 100.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0}"
